team,Est_WAB,WAB,WAB_diff
Central Mich.,-12.155928848448818,-12.31,0.15407115155118234
Charleston So.,-17.170252782771012,-17.42,0.24974721722898963
Charlotte,-17.48206770770854,-17.63,0.14793229229145766
Chattanooga,-4.704211720343084,-4.81,0.10578827965691584
Chicago St.,-22.57408612564053,-22.78,0.20591387435947084
Cincinnati,-2.092008543828152,-2.22,0.12799145617184804
Clemson,3.8243261380706386,3.74,0.08432613807063838
Cleveland St.,-8.528592539843528,-8.69,0.16140746015647167
Coastal Carolina,-19.41026131526684,-19.59,0.17973868473315946
Col. of Charleston,-5.477559254589859,-5.67,0.1924407454101411
Colgate,-15.93659619912608,-16.11,0.1734038008739187
Colorado,-5.211243533198388,-5.25,0.03875646680161182
Colorado St.,0.46011824245338184,0.2,0.26011824245338183
Columbia,-12.04398969471644,-12.22,0.17601030528356
Coppin St.,-19.854168323723705,-20.16,0.30583167627629493
Cornell,-8.136011307755966,-8.26,0.12398869224403342
Creighton,2.686064268947763,2.69,-0.003935731052236768
Dartmouth,-11.30748194037668,-11.47,0.16251805962332
Davidson,-10.0258879634415,-10.18,0.1541120365584998
Dayton,-2.3449787010119354,-2.42,0.07502129898806453
DePaul,-7.7753144756245485,-7.89,0.11468552437545121
Delaware,-16.114900277142777,-16.21,0.09509972285722412
Delaware St.,-11.510484997670016,-11.7,0.18951500232998342
Denver,-17.352908450968986,-17.5,0.14709154903101407
Detroit Mercy,-20.128197384538332,-20.28,0.15180261546166918
Drake,1.5179476534426855,1.28,0.23794765344268543
Drexel,-12.648308937267736,-12.72,0.07169106273226511
Duke,8.67963147431817,8.7,-0.020368525681830008
Duquesne,-13.716624129768906,-13.9,0.18337587023109414
ETSU,-10.063045517263829,-10.15,0.08695448273617146
East Carolina,-9.935825577838612,-10.11,0.17417442216138745
East Texas A&M,-20.890240867162166,-21.04,0.1497591328378327
Eastern Ill.,-15.23710233434136,-15.45,0.2128976656586392
Eastern Ky.,-9.342594170084226,-9.52,0.1774058299157737
Eastern Mich.,-13.379466748883305,-13.53,0.1505332511166948
Eastern Wash.,-17.687743300471592,-17.88,0.19225669952840718
Elon,-11.885956523819972,-11.98,0.09404347618002795
Evansville,-15.875547078341603,-16.0,0.12445292165839739
FDU,-16.609539475836396,-16.83,0.2204605241636024
FGCU,-10.054316873641808,-10.33,0.27568312635819225
FIU,-18.951008470383027,-19.09,0.13899152961697325
Fairfield,-17.66321604774294,-17.83,0.16678395225705955
Fla. Atlantic,-8.764670177231979,-8.91,0.1453298227680211
Florida,10.928864909811214,11.16,-0.2311350901887863
Florida A&M,-11.41765390933657,-11.56,0.1423460906634304
Florida St.,-6.341243842777123,-6.32,-0.02124384277712288
Fordham,-15.128826303620261,-15.22,0.09117369637973916
Fresno St.,-17.05573599809712,-17.29,0.23426400190287922
Furman,-5.206052207952049,-5.25,0.04394779204795096
Ga. Southern,-12.294001913344138,-12.46,0.16599808665586302
Gardner-Webb,-15.683212110758703,-15.89,0.20678788924129776
George Mason,-1.2811303845002346,-1.38,0.09886961549976525
George Washington,-7.587583022433805,-7.78,0.1924169775661957
Georgetown,-5.287023602409077,-5.38,0.09297639759092302
Georgia,1.9430748179938537,2.19,-0.24692518200614622
Georgia St.,-14.17378911371636,-14.29,0.11621088628363907
Georgia Tech,-5.908128890037131,-5.97,0.06187110996286904
Gonzaga,1.8166006711072087,1.81,0.006600671107208633
Grambling,-17.59930692516155,-17.72,0.12069307483844938
Grand Canyon,-3.547384956959784,-3.72,0.17261504304021624
Green Bay,-22.796389210882396,-22.96,0.1636107891176053
Hampton,-12.439832165840624,-12.6,0.16016783415937574
Harvard,-11.492631424670117,-11.66,0.16736857532988303
Hawaii,-11.405915869696985,-11.44,0.034084130303014604
