season,team,conference,state,score,todisplay,bgcolor,fgcolor
NCAA 64",#CC0033,#FFFFFF
1991,Temple,A10,Pennsylvania,49,"13-5 A10
Elite 8",#A41E35,#FFFFFF
1991,Penn St.,A10,Pennsylvania,36,"10-8 A10
NCAA 32",#001E44,#FFFFFF
1991,George Washington,A10,D.C.,19,10-8 A10,#FFFFFF,#000000
1991,Massachusetts,A10,Massachusetts,20,10-8 A10,#FFFFFF,#000000
1991,West Virginia,A10,West Virginia,17,10-8 A10,#FFFFFF,#000000
1991,Duquesne,A10,Pennsylvania,13,10-8 A10,#FFFFFF,#000000
1991,Saint Joseph's,A10,Pennsylvania,13,7-11 A10,#FFFFFF,#000000
1991,Rhode Island,A10,Rhode Island,11,6-12 A10,#FFFFFF,#000000
1991,St. Bonaventure,A10,New York,5,0-18 A10,#FFFFFF,#000000
1991,Oklahoma St.,B8,Oklahoma,44,"10-4 B8
Sweet 16",#FE5C00,#000000
1991,Kansas,B8,Kansas,62,"10-4 B8
Runner-up",#0051BA,#FFFFFF
1991,Nebraska,B8,Nebraska,36,"9-5 B8
NCAA 64",#D00000,#F5F1E7
1991,Missouri,B8,Missouri,20,8-6 B8,#FFFFFF,#000000
1991,Iowa St.,B8,Iowa,12,6-8 B8,#FFFFFF,#000000
1991,Oklahoma,B8,Oklahoma,20,5-9 B8,#FFFFFF,#000000
1991,Colorado,B8,Colorado,19,5-9 B8,#FFFFFF,#000000
1991,Kansas St.,B8,Kansas,13,3-11 B8,#FFFFFF,#000000
1991,Syracuse,BE,New York,36,"12-4 BE
NCAA 64",#F76900,#FFFFFF
1991,St. John's (NY),BE,New York,48,"10-6 BE
Elite 8",#CF102D,#FFFFFF
1991,UConn,BE,Connecticut,40,"9-7 BE
Sweet 16",#000E2F,#FFFFFF
1991,Seton Hall,BE,New Jersey,50,"9-7 BE
Elite 8",#004488,#FFFFFF
1991,Pittsburgh,BE,Pennsylvania,36,"9-7 BE
NCAA 32",#003594,#FFB81C
1991,Georgetown,BE,D.C.,34,"8-8 BE
NCAA 32",#041E42,#FFFFFF
1991,Providence,BE,Rhode Island,19,7-9 BE,#FFFFFF,#000000
1991,Villanova,BE,Pennsylvania,32,"7-9 BE
NCAA 32",#002664,#FFFFFF
1991,Boston College,BE,Massachusetts,11,1-15 BE,#FFFFFF,#000000
1991,Montana,BSky,Montana,33,"13-3 BSky
NCAA 64",#70002E,#FFFFFF
1991,Nevada,BSky,Nevada,17,12-4 BSky,#FFFFFF,#000000
1991,Idaho,BSky,Idaho,19,11-5 BSky,#FFFFFF,#000000
1991,Boise St.,BSky,Idaho,18,10-6 BSky,#FFFFFF,#000000
1991,Weber St.,BSky,Utah,12,7-9 BSky,#FFFFFF,#000000
1991,Idaho St.,BSky,Idaho,11,7-9 BSky,#FFFFFF,#000000
1991,Montana St.,BSky,Montana,12,6-10 BSky,#FFFFFF,#000000
1991,Eastern Wash.,BSky,Washington,11,5-11 BSky,#FFFFFF,#000000
1991,Northern Ariz.,BSky,Arizona,4,1-15 BSky,#FFFFFF,#000000
1991,Coastal Carolina,BSth,South Carolina,34,"13-1 BSth
NCAA 64",#006F71,#FFFFFF
1991,Radford,BSth,Virginia,22,12-2 BSth,#FFFFFF,#000000
1991,Davidson,BSth,North Carolina,10,6-8 BSth,#FFFFFF,#000000
1991,Winthrop,BSth,South Carolina,8,5-9 BSth,#FFFFFF,#000000
1991,Charleston So.,BSth,South Carolina,9,4-10 BSth,#FFFFFF,#000000
1991,UNC Asheville,BSth,North Carolina,8,4-10 BSth,#FFFFFF,#000000
1991,Campbell,BSth,North Carolina,9,3-11 BSth,#FFFFFF,#000000
1991,Ohio St.,B1G,Ohio,47,"15-3 B1G
Sweet 16",#BA0C2F,#FFFFFF
1991,Indiana,B1G,Indiana,49,"15-3 B1G
Sweet 16",#990000,#EDEBEB
1991,Illinois,B1G,Illinois,21,11-7 B1G,#FFFFFF,#000000
1991,Michigan St.,B1G,Michigan,34,"11-7 B1G
NCAA 32",#18453B,#FFFFFF
1991,Iowa,B1G,Iowa,36,"9-9 B1G
NCAA 32",#FFCD00,#000000
1991,Purdue,B1G,Indiana,27,"9-9 B1G
NCAA 64",#CFB991,#000000
1991,Wisconsin,B1G,Wisconsin,15,8-10 B1G,#FFFFFF,#000000
1991,Michigan,B1G,Michigan,14,7-11 B1G,#FFFFFF,#000000
1991,Minnesota,B1G,Minnesota,12,5-13 B1G,#FFFFFF,#000000
1991,Northwestern,B1G,Illinois,5,0-18 B1G,#FFFFFF,#000000
1991,UNLV,BWst,Nevada,64,"18-0 BWst
Final 4",#B10202,#FFFFFF
1991,New Mexico St.,BWst,New Mexico,33,"15-3 BWst
NCAA 64",#8C0B42,#FFFFFF
1991,Pacific,BWst,California,14,9-9 BWst,#FFFFFF,#000000
1991,UC Santa Barbara,BWst,California,14,8-10 BWst,#FFFFFF,#000000
1991,Utah St.,BWst,Utah,11,8-10 BWst,#FFFFFF,#000000
1991,Cal St. Fullerton,BWst,California,14,7-11 BWst,#FFFFFF,#000000
1991,Fresno St.,BWst,California,14,7-11 BWst,#FFFFFF,#000000
1991,Long Beach St.,BWst,California,11,7-11 BWst,#FFFFFF,#000000
1991,UC Irvine,BWst,California,11,6-12 BWst,#FFFFFF,#000000
1991,San Jose St.,BWst,California,7,5-13 BWst,#FFFFFF,#000000
1991,James Madison,CAA,Virginia,19,12-2 CAA,#FFFFFF,#000000
1991,Richmond,CAA,Virginia,37,"10-4 CAA
NCAA 32",#000066,#FFFFFF
1991,American,CAA,D.C.,15,8-6 CAA,#FFFFFF,#000000
1991,George Mason,CAA,Virginia,14,8-6 CAA,#FFFFFF,#000000
1991,UNCW,CAA,North Carolina,11,6-8 CAA,#FFFFFF,#000000
1991,William & Mary,CAA,Virginia,13,6-8 CAA,#FFFFFF,#000000
1991,East Carolina,CAA,North Carolina,12,4-10 CAA,#FFFFFF,#000000
1991,Navy,CAA,Maryland,8,2-12 CAA,#FFFFFF,#000000
1991,Towson,ECC,Maryland,29,"10-2 ECC
NCAA 64",#FFBB00,#000000
1991,Delaware,ECC,Delaware,16,8-4 ECC,#FFFFFF,#000000
1991,Hofstra,ECC,New York,14,7-5 ECC,#FFFFFF,#000000
1991,Drexel,ECC,Pennsylvania,12,7-5 ECC,#FFFFFF,#000000
1991,Rider,ECC,New Jersey,14,4-8 ECC,#FFFFFF,#000000
1991,UMBC,ECC,Maryland,7,4-8 ECC,#FFFFFF,#000000
1991,Central Conn. St.,ECC,Connecticut,4,2-10 ECC,#FFFFFF,#000000
1991,DePaul,Ind,Illinois,30,"20-9
NCAA 64",#003DA5,#FFFFFF
1991,Wright St.,Ind,Ohio,19,19-9,#FFFFFF,#000000
1991,Milwaukee,Ind,Wisconsin,18,18-10,#FFFFFF,#000000
1991,Southern Utah,Ind,Utah,16,16-12,#FFFFFF,#000000
1991,Kansas City,Ind,Missouri,15,15-14,#FFFFFF,#000000
1991,Youngstown St.,Ind,Ohio,12,12-16,#FFFFFF,#000000
1991,Notre Dame,Ind,Indiana,12,12-20,#FFFFFF,#000000
1991,Miami (FL),Ind,Florida,9,9-19,#FFFFFF,#000000
1991,Southeastern La.,Ind,Louisiana,9,9-19,#FFFFFF,#000000
1991,CSUN,Ind,California,8,8-20,#FFFFFF,#000000
1991,FIU,Ind,Florida,6,6-22,#FFFFFF,#000000
1991,Liberty,Ind,Virginia,5,5-23,#FFFFFF,#000000
1991,Chicago St.,Ind,Illinois,4,4-24,#FFFFFF,#000000
1991,Nicholls,Ind,Louisiana,3,3-25,#FFFFFF,#000000
1991,Princeton,Ivy,New Jersey,34,"14-0 Ivy
NCAA 64",#E77500,#FFFFFF
1991,Yale,Ivy,Connecticut,15,9-5 Ivy,#FFFFFF,#000000
1991,Cornell,Ivy,New York,13,6-8 Ivy,#FFFFFF,#000000
1991,Brown,Ivy,Rhode Island,11,6-8 Ivy,#FFFFFF,#000000
1991,Harvard,Ivy,Massachusetts,9,6-8 Ivy,#FFFFFF,#000000
1991,Penn,Ivy,Pennsylvania,9,6-8 Ivy,#FFFFFF,#000000
1991,Columbia,Ivy,New York,7,5-9 Ivy,#FFFFFF,#000000
1991,Dartmouth,Ivy,New Hampshire,9,4-10 Ivy,#FFFFFF,#000000
1991,Siena,MAAC,New York,25,12-4 MAAC,#FFFFFF,#000000
1991,La Salle,MAAC,Pennsylvania,19,12-4 MAAC,#FFFFFF,#000000
1991,Saint Peter's,MAAC,New Jersey,34,"11-5 MAAC
NCAA 64",#1A3B72,#FFFFFF
1991,Iona,MAAC,New York,17,11-5 MAAC,#FFFFFF,#000000
1991,Manhattan,MAAC,New York,13,8-8 MAAC,#FFFFFF,#000000
1991,Niagara,MAAC,New York,8,6-10 MAAC,#FFFFFF,#000000
1991,Loyola Maryland,MAAC,Maryland,12,5-11 MAAC,#FFFFFF,#000000
1991,Fairfield,MAAC,Connecticut,8,4-12 MAAC,#FFFFFF,#000000
1991,Canisius,MAAC,New York,10,3-13 MAAC,#FFFFFF,#000000
1991,Eastern Mich.,MAC,Michigan,46,"13-3 MAC
Sweet 16",#046A38,#FFFFFF
1991,Miami (OH),MAC,Ohio,16,10-6 MAC,#FFFFFF,#000000
1991,Ball St.,MAC,Indiana,21,10-6 MAC,#FFFFFF,#000000
1991,Bowling Green,MAC,Ohio,17,9-7 MAC,#FFFFFF,#000000
1991,Ohio,MAC,Ohio,16,9-7 MAC,#FFFFFF,#000000
1991,Central Mich.,MAC,Michigan,14,8-8 MAC,#FFFFFF,#000000
1991,Toledo,MAC,Ohio,17,7-9 MAC,#FFFFFF,#000000
1991,Kent St.,MAC,Ohio,10,4-12 MAC,#FFFFFF,#000000
1991,Western Mich.,MAC,Michigan,5,2-14 MAC,#FFFFFF,#000000
1991,Coppin St.,MEAC,Maryland,19,14-2 MEAC,#FFFFFF,#000000
1991,Delaware St.,MEAC,Delaware,19,10-6 MEAC,#FFFFFF,#000000
1991,N.C. A&T,MEAC,North Carolina,17,10-6 MEAC,#FFFFFF,#000000
1991,South Carolina St.,MEAC,South Carolina,13,10-6 MEAC,#FFFFFF,#000000
1991,Florida A&M,MEAC,Florida,17,9-7 MEAC,#FFFFFF,#000000
1991,Howard,MEAC,D.C.,8,7-9 MEAC,#FFFFFF,#000000
1991,Morgan St.,MEAC,Maryland,7,6-10 MEAC,#FFFFFF,#000000
1991,UMES,MEAC,Maryland,5,3-13 MEAC,#FFFFFF,#000000
1991,Bethune-Cookman,MEAC,Florida,5,3-13 MEAC,#FFFFFF,#000000
1991,Southern Miss.,Metro,Mississippi,31,"10-4 Metro
NCAA 64",#FFAB00,#000000
1991,Florida St.,Metro,Florida,36,"9-5 Metro
NCAA 32",#782F40,#CEB888
1991,Cincinnati,Metro,Ohio,18,8-6 Metro,#FFFFFF,#000000
1991,Tulane,Metro,Louisiana,15,7-7 Metro,#FFFFFF,#000000
1991,Memphis,Metro,Tennessee,17,7-7 Metro,#FFFFFF,#000000
1991,Virginia Tech,Metro,Virginia,13,6-8 Metro,#FFFFFF,#000000
1991,South Carolina,Metro,South Carolina,20,5-9 Metro,#FFFFFF,#000000
1991,Louisville,Metro,Kentucky,14,4-10 Metro,#FFFFFF,#000000
1991,NIU,MidC,Illinois,35,"14-2 MidC
NCAA 64",#C8102E,#FFFFFF
1991,Green Bay,MidC,Wisconsin,34,"13-3 MidC
NCAA 64",#0F5640,#FFFFFF
1991,Eastern Ill.,MidC,Illinois,17,10-6 MidC,#FFFFFF,#000000
1991,Cleveland St.,MidC,Ohio,12,8-8 MidC,#FFFFFF,#000000
1991,UNI,MidC,Iowa,13,8-8 MidC,#FFFFFF,#000000
1991,Western Ill.,MidC,Illinois,13,6-10 MidC,#FFFFFF,#000000
1991,Akron,MidC,Ohio,15,6-10 MidC,#FFFFFF,#000000
1991,UIC,MidC,Illinois,15,5-11 MidC,#FFFFFF,#000000
1991,Valparaiso,MidC,Indiana,5,2-14 MidC,#FFFFFF,#000000
1991,Xavier,MCC,Ohio,37,"11-3 MCC
NCAA 32",#0C2340,#FFFFFF
1991,Butler,MCC,Indiana,18,10-4 MCC,#FFFFFF,#000000
1991,Saint Louis,MCC,Missouri,19,8-6 MCC,#FFFFFF,#000000
1991,Dayton,MCC,Ohio,14,8-6 MCC,#FFFFFF,#000000
1991,Evansville,MCC,Indiana,14,7-7 MCC,#FFFFFF,#000000
1991,Marquette,MCC,Wisconsin,11,7-7 MCC,#FFFFFF,#000000
1991,Loyola Chicago,MCC,Illinois,10,3-11 MCC,#FFFFFF,#000000
1991,Detroit Mercy,MCC,Michigan,9,2-12 MCC,#FFFFFF,#000000
1991,Creighton,MVC,Nebraska,39,"12-4 MVC
NCAA 32",#0054A6,#FFFFFF
1991,Missouri St.,MVC,Missouri,22,11-5 MVC,#FFFFFF,#000000
1991,Tulsa,MVC,Oklahoma,18,10-6 MVC,#FFFFFF,#000000
1991,Southern Ill.,MVC,Illinois,18,9-7 MVC,#FFFFFF,#000000
1991,Indiana St.,MVC,Indiana,14,9-7 MVC,#FFFFFF,#000000
1991,Wichita St.,MVC,Kansas,14,7-9 MVC,#FFFFFF,#000000
1991,Bradley,MVC,Illinois,8,6-10 MVC,#FFFFFF,#000000
1991,Drake,MVC,Iowa,8,4-12 MVC,#FFFFFF,#000000
1991,Illinois St.,MVC,Illinois,5,4-12 MVC,#FFFFFF,#000000
1991,Northeastern,NAC,Massachusetts,32,"8-2 NAC
NCAA 64",#E50000,#FFFFFF
1991,Maine,NAC,Maine,13,7-3 NAC,#FFFFFF,#000000
1991,Boston U.,NAC,Massachusetts,11,5-5 NAC,#FFFFFF,#000000
1991,Vermont,NAC,Vermont,15,5-5 NAC,#FFFFFF,#000000
1991,Hartford,NAC,Connecticut,13,5-5 NAC,#FFFFFF,#000000
1991,New Hampshire,NAC,New Hampshire,3,0-10 NAC,#FFFFFF,#000000
1991,Saint Francis,NEC,Pennsylvania,34,"13-3 NEC
NCAA 64",#990000,#FFFFFF
1991,FDU,NEC,New Jersey,22,13-3 NEC,#FFFFFF,#000000
1991,Robert Morris,NEC,Pennsylvania,17,12-4 NEC,#FFFFFF,#000000
1991,Monmouth,NEC,New Jersey,19,10-6 NEC,#FFFFFF,#000000
1991,St. Francis Brooklyn,NEC,New York,15,8-8 NEC,#FFFFFF,#000000
1991,Mount St. Mary's,NEC,Maryland,8,6-10 NEC,#FFFFFF,#000000
1991,LIU,NEC,New York,10,4-12 NEC,#FFFFFF,#000000
1991,Marist,NEC,New York,6,4-12 NEC,#FFFFFF,#000000
1991,Wagner,NEC,New York,4,2-14 NEC,#FFFFFF,#000000
1991,Murray St.,OVC,Kentucky,34,"10-2 OVC
NCAA 64",#002144,#ECAC00
1991,Eastern Ky.,OVC,Kentucky,19,9-3 OVC,#FFFFFF,#000000
1991,Tennessee Tech,OVC,Tennessee,12,6-6 OVC,#FFFFFF,#000000
1991,Austin Peay,OVC,Tennessee,15,6-6 OVC,#FFFFFF,#000000
1991,Middle Tenn.,OVC,Tennessee,21,6-6 OVC,#FFFFFF,#000000
1991,Morehead St.,OVC,Kentucky,16,4-8 OVC,#FFFFFF,#000000
1991,Tennessee St.,OVC,Tennessee,5,1-11 OVC,#FFFFFF,#000000
1991,Arizona,P10,Arizona,48,"14-4 P10
Sweet 16",#AB0520,#FFFFFF
1991,UCLA,P10,California,33,"11-7 P10
NCAA 64",#2774AE,#FFD100
1991,Arizona St.,P10,Arizona,35,"10-8 P10
NCAA 32",#FFC627,#8C1D40
1991,Southern California,P10,California,29,"10-8 P10
NCAA 64",#990000,#FFCC00
1991,Stanford,P10,California,20,8-10 P10,#FFFFFF,#000000
1991,Washington St.,P10,Washington,16,8-10 P10,#FFFFFF,#000000
1991,Oregon St.,P10,Oregon,14,8-10 P10,#FFFFFF,#000000
1991,California,P10,California,13,8-10 P10,#FFFFFF,#000000
1991,Oregon,P10,Oregon,13,8-10 P10,#FFFFFF,#000000
1991,Washington,P10,Washington,14,5-13 P10,#FFFFFF,#000000
1991,Fordham,Pat,New York,25,11-1 Pat,#FFFFFF,#000000
1991,Lehigh,Pat,Pennsylvania,19,10-2 Pat,#FFFFFF,#000000
1991,Holy Cross,Pat,Massachusetts,18,8-4 Pat,#FFFFFF,#000000
1991,Bucknell,Pat,Pennsylvania,18,7-5 Pat,#FFFFFF,#000000
1991,Army West Point,Pat,New York,6,3-9 Pat,#FFFFFF,#000000
1991,Colgate,Pat,New York,5,2-10 Pat,#FFFFFF,#000000
1991,Lafayette,Pat,Pennsylvania,7,1-11 Pat,#FFFFFF,#000000
1991,Kentucky,SEC,Kentucky,22,14-4 SEC,#FFFFFF,#000000
1991,Mississippi St.,SEC,Mississippi,30,"13-5 SEC
NCAA 64",#5D1725,#FFFFFF
1991,LSU,SEC,Louisiana,30,"13-5 SEC
NCAA 64",#461D7C,#FDD023
1991,Alabama,SEC,Alabama,43,"12-6 SEC
Sweet 16",#9E1B32,#FFFFFF
1991,Vanderbilt,SEC,Tennessee,27,"11-7 SEC
NCAA 64",#CFAE70,#1C1C1C
1991,Georgia,SEC,Georgia,27,"9-9 SEC
NCAA 64",#BA0C2F,#FFFFFF
1991,Florida,SEC,Florida,11,7-11 SEC,#FFFFFF,#000000
1991,Auburn,SEC,Alabama,13,5-13 SEC,#FFFFFF,#000000
1991,Ole Miss,SEC,Mississippi,9,3-15 SEC,#FFFFFF,#000000
1991,Tennessee,SEC,Tennessee,12,3-15 SEC,#FFFFFF,#000000
1991,ETSU,SoCon,Tennessee,38,"11-3 SoCon
NCAA 64",#00053E,#FFC72C
1991,Furman,SoCon,South Carolina,20,11-3 SoCon,#FFFFFF,#000000
1991,Chattanooga,SoCon,Tennessee,19,11-3 SoCon,#FFFFFF,#000000
1991,App State,SoCon,North Carolina,16,7-7 SoCon,#FFFFFF,#000000
1991,Marshall,SoCon,West Virginia,14,7-7 SoCon,#FFFFFF,#000000
1991,VMI,SoCon,Virginia,10,5-9 SoCon,#FFFFFF,#000000
1991,Western Caro.,SoCon,North Carolina,11,3-11 SoCon,#FFFFFF,#000000
1991,The Citadel,SoCon,South Carolina,6,1-13 SoCon,#FFFFFF,#000000
1991,ULM,SLC,Louisiana,35,"13-1 SLC
NCAA 64",#840029,#FFFFFF
1991,UT Arlington,SLC,Texas,20,11-3 SLC,#FFFFFF,#000000
1991,North Texas,SLC,Texas,17,11-3 SLC,#FFFFFF,#000000
1991,SFA,SLC,Texas,11,6-8 SLC,#FFFFFF,#000000
1991,Sam Houston,SLC,Texas,7,5-9 SLC,#FFFFFF,#000000
1991,Texas St.,SLC,Texas,10,4-10 SLC,#FFFFFF,#000000
1991,McNeese,SLC,Louisiana,8,4-10 SLC,#FFFFFF,#000000
1991,Northwestern St.,SLC,Louisiana,6,2-12 SLC,#FFFFFF,#000000
1991,South Alabama,SB,Alabama,32,"11-3 SB
NCAA 64",#00205B,#FFFFFF
1991,UAB,SB,Alabama,18,9-5 SB,#FFFFFF,#000000
1991,South Fla.,SB,Florida,19,8-6 SB,#FFFFFF,#000000
1991,Western Ky.,SB,Kentucky,14,8-6 SB,#FFFFFF,#000000
1991,VCU,SB,Virginia,14,7-7 SB,#FFFFFF,#000000
1991,Old Dominion,SB,Virginia,14,5-9 SB,#FFFFFF,#000000
1991,Charlotte,SB,North Carolina,14,6-8 SB,#FFFFFF,#000000
1991,Jacksonville,SB,Florida,6,2-12 SB,#FFFFFF,#000000
1991,Jackson St.,SWAC,Mississippi,17,10-2 SWAC,#FFFFFF,#000000
1991,Southern U.,SWAC,Louisiana,19,8-4 SWAC,#FFFFFF,#000000
1991,Alabama St.,SWAC,Alabama,18,7-5 SWAC,#FFFFFF,#000000
1991,Texas Southern,SWAC,Texas,13,7-5 SWAC,#FFFFFF,#000000
1991,Mississippi Val.,SWAC,Mississippi,9,4-8 SWAC,#FFFFFF,#000000
1991,Alcorn,SWAC,Mississippi,8,3-9 SWAC,#FFFFFF,#000000
1991,Grambling,SWAC,Louisiana,6,3-9 SWAC,#FFFFFF,#000000
1991,Prairie View,SWAC,Texas,4,4-21,#FFFFFF,#000000
1991,Arkansas,SWC,Arkansas,59,"15-1 SWC
Elite 8",#9D2235,#FFFFFF
1991,Texas,SWC,Texas,38,"13-3 SWC
NCAA 32",#BF5700,#FFFFFF
1991,Houston,SWC,Texas,18,10-6 SWC,#FFFFFF,#000000
1991,TCU,SWC,Texas,18,9-7 SWC,#FFFFFF,#000000
1991,Rice,SWC,Texas,16,9-7 SWC,#FFFFFF,#000000
1991,SMU,SWC,Texas,12,6-10 SWC,#FFFFFF,#000000
1991,Baylor,SWC,Texas,12,4-12 SWC,#FFFFFF,#000000
1991,Texas Tech,SWC,Texas,8,4-12 SWC,#FFFFFF,#000000
1991,Texas A&M,SWC,Texas,8,2-14 SWC,#FFFFFF,#000000
1991,UTSA,TAAC,Texas,21,12-2 TAAC,#FFFFFF,#000000
1991,Ga. Southern,TAAC,Georgia,14,9-5 TAAC,#FFFFFF,#000000
1991,Stetson,TAAC,Florida,15,9-5 TAAC,#FFFFFF,#000000
1991,Georgia St.,TAAC,Georgia,26,"7-7 TAAC
NCAA 64",#0039A6,#FFFFFF
1991,Little Rock,TAAC,Arkansas,10,6-8 TAAC,#FFFFFF,#000000
1991,Samford,TAAC,Alabama,6,2-12 TAAC,#FFFFFF,#000000
1991,Mercer,TAAC,Georgia,2,1-13 TAAC,#FFFFFF,#000000
1991,Utah,WAC,Utah,50,"15-1 WAC
Sweet 16",#CC0000,#FFFFFF
1991,BYU,WAC,Utah,36,"11-5 WAC
NCAA 32",#002E5D,#FFFFFF
1991,New Mexico,WAC,New Mexico,30,"10-6 WAC
NCAA 64",#BA0C2F,#FFFFFF
1991,Wyoming,WAC,Wyoming,20,8-8 WAC,#FFFFFF,#000000
1991,UTEP,WAC,Texas,16,7-9 WAC,#FFFFFF,#000000
1991,Hawaii,WAC,Hawaii,16,7-9 WAC,#FFFFFF,#000000
1991,Colorado St.,WAC,Colorado,15,6-10 WAC,#FFFFFF,#000000
1991,San Diego St.,WAC,California,13,6-10 WAC,#FFFFFF,#000000
1991,Air Force,WAC,Colorado,9,2-14 WAC,#FFFFFF,#000000
1991,Pepperdine,WCC,California,32,"13-1 WCC
NCAA 64",#00205C,#FFFFFF
1991,LMU (CA),WCC,California,16,9-5 WCC,#FFFFFF,#000000
1991,San Diego,WCC,California,17,8-6 WCC,#FFFFFF,#000000
1991,Saint Mary's (CA),WCC,California,13,7-7 WCC,#FFFFFF,#000000
1991,Santa Clara,WCC,California,16,7-7 WCC,#FFFFFF,#000000
1991,Gonzaga,WCC,Washington,14,5-9 WCC,#FFFFFF,#000000
1991,San Francisco,WCC,California,12,4-10 WCC,#FFFFFF,#000000
1991,Portland,WCC,Oregon,5,3-11 WCC,#FFFFFF,#000000
1992,Duke,ACC,North Carolina,134,"14-2 ACC
Champion",#00539B,#FFFFFF
1992,Florida St.,ACC,Florida,42,"11-5 ACC
Sweet 16",#782F40,#CEB888
1992,North Carolina,ACC,North Carolina,43,"9-7 ACC
Sweet 16",#4B9CD3,#FFFFFF
1992,Georgia Tech,ACC,Georgia,43,"8-8 ACC
Sweet 16",#B3A369,#003057
1992,Virginia,ACC,Virginia,20,8-8 ACC,#FFFFFF,#000000
1992,Wake Forest,ACC,North Carolina,27,"7-9 ACC
NCAA 64",#9E7E38,#000000
1992,NC State,ACC,North Carolina,12,6-10 ACC,#FFFFFF,#000000
1992,Maryland,ACC,Maryland,14,5-11 ACC,#FFFFFF,#000000
1992,Clemson,ACC,South Carolina,14,4-12 ACC,#FFFFFF,#000000
1992,Massachusetts,A10,Massachusetts,50,"13-3 A10
Sweet 16",#9D2235,#FFFFFF
1992,Temple,A10,Pennsylvania,27,"11-5 A10
NCAA 64",#A41E35,#FFFFFF
1992,West Virginia,A10,West Virginia,30,"10-6 A10
NCAA 64",#002855,#EAAA00
1992,Rhode Island,A10,Rhode Island,22,9-7 A10,#FFFFFF,#000000
1992,George Washington,A10,D.C.,16,8-8 A10,#FFFFFF,#000000
1992,Rutgers,A10,New Jersey,16,6-10 A10,#FFFFFF,#000000
1992,Duquesne,A10,Pennsylvania,13,6-10 A10,#FFFFFF,#000000
1992,Saint Joseph's,A10,Pennsylvania,13,6-10 A10,#FFFFFF,#000000
1992,St. Bonaventure,A10,New York,9,3-13 A10,#FFFFFF,#000000
1992,Kansas,B8,Kansas,42,"11-3 B8
NCAA 32",#0051BA,#FFFFFF
1992,Oklahoma St.,B8,Oklahoma,48,"8-6 B8
Sweet 16",#FE5C00,#000000
1992,Missouri,B8,Missouri,36,"8-6 B8
NCAA 32",#F1B82D,#000000
1992,Oklahoma,B8,Oklahoma,31,"8-6 B8
NCAA 64",#841617,#FFFFFF
1992,Nebraska,B8,Nebraska,29,"7-7 B8
NCAA 64",#D00000,#F5F1E7
1992,Iowa St.,B8,Iowa,36,"5-9 B8
NCAA 32",#C8102E,#F1BE48
1992,Kansas St.,B8,Kansas,16,5-9 B8,#FFFFFF,#000000
1992,Colorado,B8,Colorado,13,4-10 B8,#FFFFFF,#000000
1992,Seton Hall,BE,New Jersey,43,"12-6 BE
Sweet 16",#004488,#FFFFFF
1992,Georgetown,BE,D.C.,37,"12-6 BE
NCAA 32",#041E42,#FFFFFF
1992,St. John's (NY),BE,New York,29,"12-6 BE
NCAA 64",#CF102D,#FFFFFF
1992,Villanova,BE,Pennsylvania,14,11-7 BE,#FFFFFF,#000000
1992,Syracuse,BE,New York,37,"10-8 BE
NCAA 32",#F76900,#FFFFFF
1992,UConn,BE,Connecticut,35,"10-8 BE
NCAA 32",#000E2F,#FFFFFF
1992,Pittsburgh,BE,Pennsylvania,18,9-9 BE,#FFFFFF,#000000
1992,Boston College,BE,Massachusetts,17,7-11 BE,#FFFFFF,#000000
1992,Providence,BE,Rhode Island,14,6-12 BE,#FFFFFF,#000000
1992,Miami (FL),BE,Florida,8,1-17 BE,#FFFFFF,#000000
1992,Montana,BSky,Montana,37,"14-2 BSky
NCAA 64",#70002E,#FFFFFF
1992,Nevada,BSky,Nevada,19,13-3 BSky,#FFFFFF,#000000
1992,Idaho,BSky,Idaho,18,10-6 BSky,#FFFFFF,#000000
1992,Weber St.,BSky,Utah,16,10-6 BSky,#FFFFFF,#000000
1992,Boise St.,BSky,Idaho,16,7-9 BSky,#FFFFFF,#000000
1992,Montana St.,BSky,Montana,14,6-10 BSky,#FFFFFF,#000000
1992,Idaho St.,BSky,Idaho,9,6-10 BSky,#FFFFFF,#000000
1992,Northern Ariz.,BSky,Arizona,7,3-13 BSky,#FFFFFF,#000000
1992,Eastern Wash.,BSky,Washington,6,3-13 BSky,#FFFFFF,#000000
1992,Radford,BSth,Virginia,20,12-2 BSth,#FFFFFF,#000000
1992,Liberty,BSth,Virginia,22,10-4 BSth,#FFFFFF,#000000
1992,Campbell,BSth,North Carolina,29,"7-7 BSth
NCAA 64",#EA7125,#FFFFFF
1992,Charleston So.,BSth,South Carolina,16,7-7 BSth,#FFFFFF,#000000
1992,Davidson,BSth,North Carolina,11,6-8 BSth,#FFFFFF,#000000
1992,Coastal Carolina,BSth,South Carolina,12,6-8 BSth,#FFFFFF,#000000
1992,UNC Asheville,BSth,North Carolina,9,6-8 BSth,#FFFFFF,#000000
1992,Winthrop,BSth,South Carolina,6,2-12 BSth,#FFFFFF,#000000
1992,Ohio St.,B1G,Ohio,51,"15-3 B1G
Elite 8",#BA0C2F,#FFFFFF
1992,Indiana,B1G,Indiana,57,"14-4 B1G
Final 4",#990000,#EDEBEB
1992,Michigan,B1G,Michigan,60,"11-7 B1G
Runner-up",#00274C,#FFCB05
1992,Michigan St.,B1G,Michigan,37,"11-7 B1G
NCAA 32",#18453B,#FFFFFF
1992,Iowa,B1G,Iowa,34,"10-8 B1G
NCAA 32",#FFCD00,#000000
