season,team,conference,state,score,todisplay,bgcolor,fgcolor
1923,Navy,Ind,Maryland,14,14-4,#FFFFFF,#000000
1923,Niagara,Ind,New York,13,13-4,#FFFFFF,#000000
1923,UCLA,Ind,California,12,12-4,#FFFFFF,#000000
1923,Valparaiso,Ind,Indiana,15,15-5,#FFFFFF,#000000
1923,Western Mich.,Ind,Michigan,17,17-6,#FFFFFF,#000000
1923,Bradley,Ind,Illinois,14,14-5,#FFFFFF,#000000
1923,Harvard,Ind,Massachusetts,14,14-5,#FFFFFF,#000000
1923,Georgetown,Ind,D.C.,8,8-3,#FFFFFF,#000000
1923,St. Francis Brooklyn,Ind,New York,21,21-8,#FFFFFF,#000000
1923,Colgate,Ind,New York,13,13-5,#FFFFFF,#000000
1923,Xavier,Ind,Ohio,13,13-5,#FFFFFF,#000000
1923,Canisius,Ind,New York,10,10-4,#FFFFFF,#000000
1923,Temple,Ind,Pennsylvania,10,10-4,#FFFFFF,#000000
1923,Wake Forest,Ind,North Carolina,12,12-5,#FFFFFF,#000000
1923,New Mexico St.,Ind,New Mexico,14,14-6,#FFFFFF,#000000
1923,Bowling Green,Ind,Ohio,9,9-4,#FFFFFF,#000000
1923,Rhode Island,Ind,Rhode Island,9,9-4,#FFFFFF,#000000
1923,Richmond,Ind,Virginia,9,9-4,#FFFFFF,#000000
1923,Creighton,Ind,Nebraska,11,11-5,#FFFFFF,#000000
1923,Duke,Ind,North Carolina,15,15-7,#FFFFFF,#000000
1923,Arizona St.,Ind,Arizona,8,8-4,#FFFFFF,#000000
1923,Northern Colo.,Ind,Colorado,10,10-5,#FFFFFF,#000000
1923,Pittsburgh,Ind,Pennsylvania,10,10-5,#FFFFFF,#000000
1923,Seton Hall,Ind,New Jersey,8,8-4,#FFFFFF,#000000
1923,Utah St.,Ind,Utah,8,8-4,#FFFFFF,#000000
1923,Vermont,Ind,Vermont,12,12-6,#FFFFFF,#000000
1923,William & Mary,Ind,Virginia,8,8-4,#FFFFFF,#000000
1923,Wichita St.,Ind,Kansas,13,13-7,#FFFFFF,#000000
1923,West Virginia,Ind,West Virginia,12,12-7,#FFFFFF,#000000
1923,Santa Clara,Ind,California,10,10-6,#FFFFFF,#000000
1923,Utah,Ind,Utah,5,5-3,#FFFFFF,#000000
1923,Villanova,Ind,Pennsylvania,10,10-6,#FFFFFF,#000000
1923,Furman,Ind,South Carolina,11,11-7,#FFFFFF,#000000
1923,Lafayette,Ind,Pennsylvania,12,12-8,#FFFFFF,#000000
1923,Miami (OH),Ind,Ohio,9,9-6,#FFFFFF,#000000
1923,Cincinnati,Ind,Ohio,13,13-9,#FFFFFF,#000000
1923,BYU,Ind,Utah,7,7-5,#FFFFFF,#000000
1923,Buffalo,Ind,New York,7,7-5,#FFFFFF,#000000
1923,Manhattan,Ind,New York,7,7-5,#FFFFFF,#000000
1923,Ohio,Ind,Ohio,11,11-8,#FFFFFF,#000000
1923,St. Bonaventure,Ind,New York,13,13-10,#FFFFFF,#000000
1923,Detroit Mercy,Ind,Michigan,9,9-7,#FFFFFF,#000000
1923,Loyola Maryland,Ind,Maryland,6,6-5,#FFFFFF,#000000
1923,UConn,Ind,Connecticut,8,8-7,#FFFFFF,#000000
1923,Michigan St.,Ind,Michigan,10,10-9,#FFFFFF,#000000
1923,St. John's (NY),Ind,New York,11,11-10,#FFFFFF,#000000
1923,Davidson,Ind,North Carolina,9,9-9,#FFFFFF,#000000
1923,Dayton,Ind,Ohio,8,8-8,#FFFFFF,#000000
1923,Northern Ariz.,Ind,Arizona,6,6-6,#FFFFFF,#000000
1923,Saint Louis,Ind,Missouri,5,5-5,#FFFFFF,#000000
1923,The Citadel,Ind,South Carolina,5,5-5,#FFFFFF,#000000
1923,Lehigh,Ind,Pennsylvania,9,9-10,#FFFFFF,#000000
1923,Saint Joseph's,Ind,Pennsylvania,7,7-8,#FFFFFF,#000000
1923,Notre Dame,Ind,Indiana,10,10-12,#FFFFFF,#000000
1923,Bucknell,Ind,Pennsylvania,9,9-11,#FFFFFF,#000000
1923,Loyola Chicago,Ind,Illinois,5,5-7,#FFFFFF,#000000
1923,Kent St.,Ind,Ohio,4,4-6,#FFFFFF,#000000
1923,Syracuse,Ind,New York,8,8-12,#FFFFFF,#000000
1923,Brown,Ind,Rhode Island,6,6-10,#FFFFFF,#000000
1923,Holy Cross,Ind,Massachusetts,7,7-13,#FFFFFF,#000000
1923,Montana,Ind,Montana,7,7-14,#FFFFFF,#000000
1923,George Washington,Ind,D.C.,4,4-11,#FFFFFF,#000000
1923,Marshall,Ind,West Virginia,1,1-3,#FFFFFF,#000000
1923,Tulsa,Ind,Oklahoma,1,1-3,#FFFFFF,#000000
1923,New Mexico,Ind,New Mexico,2,2-7,#FFFFFF,#000000
1923,Saint Mary's (CA),Ind,California,2,2-7,#FFFFFF,#000000
1923,Toledo,Ind,Ohio,2,2-8,#FFFFFF,#000000
1923,TCU,Ind,Texas,3,3-13,#FFFFFF,#000000
1923,UTEP,Ind,Texas,1,1-6,#FFFFFF,#000000
1923,Colorado St.,Ind,Colorado,0,0-1,#FFFFFF,#000000
1923,Yale,Ivy,Connecticut,16,7-3 Ivy,#FFFFFF,#000000
1923,Princeton,Ivy,New Jersey,16,6-4 Ivy,#FFFFFF,#000000
1923,Cornell,Ivy,New York,15,6-4 Ivy,#FFFFFF,#000000
1923,Columbia,Ivy,New York,9,5-5 Ivy,#FFFFFF,#000000
1923,Dartmouth,Ivy,New Hampshire,14,3-7 Ivy,#FFFFFF,#000000
1923,Penn,Ivy,Pennsylvania,14,3-7 Ivy,#FFFFFF,#000000
1923,Denver,MSAC,Colorado,5,4-4 MSAC,#FFFFFF,#000000
1923,Colorado,MSAC,Colorado,1,1-5 MSAC,#FFFFFF,#000000
1923,Wyoming,MSAC,Wyoming,2,0-6 MSAC,#FFFFFF,#000000
1923,Kansas,MVC,Kansas,17,16-0 MVC,#FFFFFF,#000000
1923,Missouri,MVC,Missouri,15,14-2 MVC,#FFFFFF,#000000
1923,Drake,MVC,Iowa,10,10-6 MVC,#FFFFFF,#000000
1923,Iowa St.,MVC,Iowa,11,9-7 MVC,#FFFFFF,#000000
1923,Nebraska,MVC,Nebraska,6,5-11 MVC,#FFFFFF,#000000
1923,Oklahoma,MVC,Oklahoma,6,5-11 MVC,#FFFFFF,#000000
1923,Kansas St.,MVC,Kansas,2,2-14 MVC,#FFFFFF,#000000
1923,Idaho,PCC,Idaho,15,5-3 PCC,#FFFFFF,#000000
1923,Washington,PCC,Washington,12,5-3 PCC,#FFFFFF,#000000
1923,Oregon St.,PCC,Oregon,19,4-4 PCC,#FFFFFF,#000000
1923,Washington St.,PCC,Washington,16,4-4 PCC,#FFFFFF,#000000
1923,Oregon,PCC,Oregon,15,2-6 PCC,#FFFFFF,#000000
1923,California,PCC,California,12,5-3 PCC,#FFFFFF,#000000
1923,Stanford,PCC,California,12,5-3 PCC,#FFFFFF,#000000
1923,Southern California,PCC,California,5,2-6 PCC,#FFFFFF,#000000
1923,North Carolina,SoCon,North Carolina,15,5-0 SoCon,#FFFFFF,#000000
1923,Vanderbilt,SoCon,Tennessee,16,2-0 SoCon,#FFFFFF,#000000
1923,Tulane,SoCon,Louisiana,15,5-1 SoCon,#FFFFFF,#000000
1923,Tennessee,SoCon,Tennessee,15,3-1 SoCon,#FFFFFF,#000000
1923,Mississippi St.,SoCon,Mississippi,15,8-3 SoCon,#FFFFFF,#000000
1923,Georgia Tech,SoCon,Georgia,9,5-3 SoCon,#FFFFFF,#000000
1923,Alabama,SoCon,Alabama,20,3-3 SoCon,#FFFFFF,#000000
1923,Clemson,SoCon,South Carolina,11,3-3 SoCon,#FFFFFF,#000000
1923,Georgia,SoCon,Georgia,11,3-3 SoCon,#FFFFFF,#000000
1923,Auburn,SoCon,Alabama,7,2-3 SoCon,#FFFFFF,#000000
1923,Ole Miss,SoCon,Mississippi,8,2-4 SoCon,#FFFFFF,#000000
1923,Virginia Tech,SoCon,Virginia,13,1-2 SoCon,#FFFFFF,#000000
1923,NC State,SoCon,North Carolina,5,1-2 SoCon,#FFFFFF,#000000
1923,Virginia,SoCon,Virginia,12,1-3 SoCon,#FFFFFF,#000000
1923,South Carolina,SoCon,South Carolina,6,0-3 SoCon,#FFFFFF,#000000
1923,Florida,SoCon,Florida,2,0-3 SoCon,#FFFFFF,#000000
1923,Kentucky,SoCon,Kentucky,3,0-5 SoCon,#FFFFFF,#000000
1923,LSU,SoCon,Louisiana,10,0-6 SoCon,#FFFFFF,#000000
1923,Texas A&M,SWC,Texas,16,15-3 SWC,#FFFFFF,#000000
1923,Texas,SWC,Texas,11,9-7 SWC,#FFFFFF,#000000
1923,Rice,SWC,Texas,10,7-8 SWC,#FFFFFF,#000000
1923,Oklahoma St.,SWC,Oklahoma,12,7-8 SWC,#FFFFFF,#000000
1923,Baylor,SWC,Texas,7,7-13 SWC,#FFFFFF,#000000
1923,SMU,SWC,Texas,10,4-10 SWC,#FFFFFF,#000000
1924,Wisconsin,B1G,Wisconsin,11,8-4 B1G,#FFFFFF,#000000
1924,Illinois,B1G,Illinois,11,8-4 B1G,#FFFFFF,#000000
1924,Ohio St.,B1G,Ohio,12,7-5 B1G,#FFFFFF,#000000
1924,Purdue,B1G,Indiana,12,7-5 B1G,#FFFFFF,#000000
1924,Indiana,B1G,Indiana,11,7-5 B1G,#FFFFFF,#000000
1924,Michigan,B1G,Michigan,10,6-6 B1G,#FFFFFF,#000000
1924,Minnesota,B1G,Minnesota,9,5-7 B1G,#FFFFFF,#000000
1924,Iowa,B1G,Iowa,7,4-8 B1G,#FFFFFF,#000000
1924,Northwestern,B1G,Illinois,0,0-12 B1G,#FFFFFF,#000000
1924,Army West Point,Ind,New York,16,16-2,#FFFFFF,#000000
1924,Canisius,Ind,New York,8,8-1,#FFFFFF,#000000
1924,Vermont,Ind,Vermont,15,15-2,#FFFFFF,#000000
1924,West Virginia,Ind,West Virginia,14,14-2,#FFFFFF,#000000
1924,Montana St.,Ind,Montana,20,20-3,#FFFFFF,#000000
1924,Creighton,Ind,Nebraska,13,13-2,#FFFFFF,#000000
1924,Penn St.,Ind,Pennsylvania,13,13-2,#FFFFFF,#000000
1924,Valparaiso,Ind,Indiana,24,24-4,#FFFFFF,#000000
1924,Navy,Ind,Maryland,15,15-3,#FFFFFF,#000000
1924,Arizona,Ind,Arizona,14,14-3,#FFFFFF,#000000
1924,Lehigh,Ind,Pennsylvania,12,12-3,#FFFFFF,#000000
1924,Saint Louis,Ind,Missouri,8,8-2,#FFFFFF,#000000
1924,Saint Mary's (CA),Ind,California,12,12-3,#FFFFFF,#000000
1924,UCLA,Ind,California,8,8-2,#FFFFFF,#000000
1924,San Francisco,Ind,California,14,14-4,#FFFFFF,#000000
1924,Xavier,Ind,Ohio,13,13-4,#FFFFFF,#000000
1924,Ohio,Ind,Ohio,16,16-5,#FFFFFF,#000000
1924,Duke,Ind,North Carolina,19,19-6,#FFFFFF,#000000
1924,Temple,Ind,Pennsylvania,15,15-5,#FFFFFF,#000000
1924,Richmond,Ind,Virginia,14,14-5,#FFFFFF,#000000
1924,Wake Forest,Ind,North Carolina,18,18-7,#FFFFFF,#000000
1924,St. Bonaventure,Ind,New York,7,7-3,#FFFFFF,#000000
1924,Indiana St.,Ind,Indiana,16,16-7,#FFFFFF,#000000
1924,North Dakota St.,Ind,North Dakota,16,16-7,#FFFFFF,#000000
1924,Colgate,Ind,New York,13,13-6,#FFFFFF,#000000
1924,Georgetown,Ind,D.C.,6,6-3,#FFFFFF,#000000
1924,Northern Colo.,Ind,Colorado,10,10-5,#FFFFFF,#000000
1924,St. Francis Brooklyn,Ind,New York,18,18-9,#FFFFFF,#000000
1924,Tulsa,Ind,Oklahoma,2,2-1,#FFFFFF,#000000
1924,Villanova,Ind,Pennsylvania,14,14-7,#FFFFFF,#000000
1924,Notre Dame,Ind,Indiana,15,15-8,#FFFFFF,#000000
1924,Dayton,Ind,Ohio,9,9-5,#FFFFFF,#000000
1924,Butler,Ind,Indiana,12,12-7,#FFFFFF,#000000
1924,New Mexico,Ind,New Mexico,5,5-3,#FFFFFF,#000000
1924,Western Mich.,Ind,Michigan,13,13-8,#FFFFFF,#000000
1924,Fordham,Ind,New York,12,12-8,#FFFFFF,#000000
1924,Rhode Island,Ind,Rhode Island,9,9-6,#FFFFFF,#000000
1924,Pittsburgh,Ind,Pennsylvania,10,10-7,#FFFFFF,#000000
1924,Cincinnati,Ind,Ohio,11,11-8,#FFFFFF,#000000
1924,Harvard,Ind,Massachusetts,11,11-8,#FFFFFF,#000000
1924,DePaul,Ind,Illinois,8,8-6,#FFFFFF,#000000
1924,Duquesne,Ind,Pennsylvania,8,8-6,#FFFFFF,#000000
1924,Manhattan,Ind,New York,12,12-9,#FFFFFF,#000000
1924,VMI,Ind,Virginia,8,8-6,#FFFFFF,#000000
1924,Buffalo,Ind,New York,7,7-6,#FFFFFF,#000000
1924,Marshall,Ind,West Virginia,8,8-7,#FFFFFF,#000000
1924,Detroit Mercy,Ind,Michigan,9,9-8,#FFFFFF,#000000
1924,Davidson,Ind,North Carolina,10,10-9,#FFFFFF,#000000
1924,New Mexico St.,Ind,New Mexico,10,10-9,#FFFFFF,#000000
1924,Bradley,Ind,Illinois,11,11-10,#FFFFFF,#000000
1924,St. John's (NY),Ind,New York,16,16-15,#FFFFFF,#000000
1924,Furman,Ind,South Carolina,7,7-7,#FFFFFF,#000000
1924,Marquette,Ind,Wisconsin,10,10-10,#FFFFFF,#000000
1924,Michigan St.,Ind,Michigan,10,10-10,#FFFFFF,#000000
1924,Northern Ariz.,Ind,Arizona,7,7-7,#FFFFFF,#000000
1924,Saint Joseph's,Ind,Pennsylvania,9,9-9,#FFFFFF,#000000
