team,state,bgcolor,fgcolor,yearchecked
California Baptist,California,#002554,#FFFFFF,23
Campbell,North Carolina,#EA7125,#FFFFFF,23
Canisius,New York,#FFBA00,#0C2340,23
Central Ark.,Arkansas,#582C83,#FFFFFF,24
Central Conn. St.,Connecticut,#205999,#FFFFFF,24
Central Mich.,Michigan,#6A0032,#FFFFFF,24
Charleston So.,South Carolina,#002855,#FFFFFF,23
Charlotte,North Carolina,#005035,#FFFFFF,25
Chattanooga,Tennessee,#FDB736,#112E51,23
Chicago St.,Illinois,#26533A,#FFFFFF,23
Cincinnati,Ohio,#E00122,#FFFFFF,23
Clemson,South Carolina,#F56600,#FFFFFF,23
Cleveland St.,Ohio,#006A4D,#FFFFFF,25
Coastal Carolina,South Carolina,#006F71,#FFFFFF,25
Col. of Charleston,South Carolina,#660000,#FFFFFF,23
Colgate,New York,#821019,#FFFFFF,23
Colorado,Colorado,#CFB87C,#000000,23
Colorado St.,Colorado,#1E4D2B,#FFFFFF,23
Columbia,New York,#ACCCE6,#003373,24
Coppin St.,Maryland,#003056,#FFC915,23
Cornell,New York,#B31B1B,#FFFFFF,24
Creighton,Nebraska,#0054A6,#FFFFFF,23
CSU Bakersfield,California,#003594,#FFFFFF,25
CSUN,California,#D22030,#FFFFFF,24
Dartmouth,New Hampshire,#00693E,#FFFFFF,23
Davidson,North Carolina,#D42121,#FFFFFF,25
Dayton,Ohio,#CE0037,#FFFFFF,24
Delaware,Delaware,#00539F,#FFD200,25
Delaware St.,Delaware,#279FCC,#FFFFFF,24
Denver,Colorado,#BA0C2F,#FFFFFF,23
DePaul,Illinois,#003DA5,#FFFFFF,25
Detroit Mercy,Michigan,#002C77,#FFFFFF,25
Drake,Iowa,#004A7C,#FFFFFF,23
Drexel,Pennsylvania,#FFC600,#07294D,23
Duke,North Carolina,#00539B,#FFFFFF,23
Duquesne,Pennsylvania,#012169,#FFFFFF,24
East Carolina,North Carolina,#592A8A,#FEC923,25
East Texas A&M,Texas,#00386C,#F1B20F,24
Eastern Ill.,Illinois,#004C97,#FFFFFF,24
Eastern Ky.,Kentucky,#861F41,#FFFFFF,25
Eastern Mich.,Michigan,#046A38,#FFFFFF,24
Eastern Wash.,Washington,#B7142E,#FFFFFF,25
Elon,North Carolina,#73000A,#B59A57,23
ETSU,Tennessee,#00053E,#FFC72C,25
Evansville,Indiana,#4C2683,#FFFFFF,23
Fairfield,Connecticut,#B3000A,#FFFFFF,24
FDU,New Jersey,#003882,#FFFFFF,23
FGCU,Florida,#00794C,#FFFFFF,25
FIU,Florida,#081E3F,#B6862C,24
Fla. Atlantic,Florida,#003366,#FFFFFF,23
Florida,Florida,#FA4616,#0021A5,25
Florida A&M,Florida,#F4811F,#008344,25
Florida St.,Florida,#782F40,#CEB888,23
Fordham,New York,#7E072A,#FFFFFF,25
Fresno St.,California,#B1102B,#FFFFFF,25
Furman,South Carolina,#582C83,#FFFFFF,23
