team,opponent,date,hca,points,fga,orb,tov,fta,opp_points,opp_fga,opp_orb,opp_tov,opp_fta
CSUN,St. Bonaventure,2024-11-04,-1,56,54,7,21,16,70,55,12,18,34
St. Bonaventure,CSUN,2024-11-04,1,70,55,12,18,34,56,54,7,21,16
Cal St. Fullerton,Grand Canyon,2024-11-04,-1,79,50,8,17,30,89,59,16,17,32
Grand Canyon,Cal St. Fullerton,2024-11-04,1,89,59,16,17,32,79,50,8,17,30
UIW,California Baptist,2024-11-04,-1,78,61,11,13,9,83,65,14,5,23
California Baptist,UIW,2024-11-04,1,83,65,14,5,23,78,61,11,13,9
Central Conn. St.,Providence,2024-11-04,-1,55,54,10,7,26,59,53,13,16,15
Providence,Central Conn. St.,2024-11-04,1,59,53,13,16,15,55,54,10,7,26
Central Mich.,South Alabama,2024-11-04,-1,74,52,9,17,17,70,53,8,15,16
South Alabama,Central Mich.,2024-11-04,1,70,53,8,15,16,74,52,9,17,17
Charleston So.,Clemson,2024-11-04,-1,64,50,11,18,27,91,65,13,7,24
Clemson,Charleston So.,2024-11-04,1,91,65,13,7,24,64,50,11,18,27
Presbyterian,Charlotte,2024-11-04,-1,79,57,11,9,10,88,54,5,5,19
Charlotte,Presbyterian,2024-11-04,1,88,54,5,5,19,79,57,11,9,10
Chattanooga,Southern California,2024-11-04,-1,51,54,13,16,19,77,64,10,9,7
Southern California,Chattanooga,2024-11-04,1,77,64,10,9,7,51,54,13,16,19
Chicago St.,Loyola Chicago,2024-11-04,-1,72,62,10,13,20,79,63,12,9,29
Loyola Chicago,Chicago St.,2024-11-04,1,79,63,12,9,29,72,62,10,13,20
Cleveland St.,Michigan,2024-11-04,-1,53,70,20,21,11,101,57,10,16,22
Michigan,Cleveland St.,2024-11-04,1,101,57,10,16,22,53,70,20,21,11
Western Mich.,Coastal Carolina,2024-11-04,-1,56,52,9,8,28,60,47,4,12,15
Coastal Carolina,Western Mich.,2024-11-04,1,60,47,4,12,15,56,52,9,8,28
Col. of Charleston,Southern Ill.,2024-11-04,0,90,55,8,17,30,80,62,9,9,33
Southern Ill.,Col. of Charleston,2024-11-04,0,80,62,9,9,33,90,55,8,17,30
North Dakota,Colorado St.,2024-11-04,-1,56,48,5,21,23,82,60,5,10,19
Colorado St.,North Dakota,2024-11-04,1,82,60,5,10,19,56,48,5,21,23
Eastern Wash.,Colorado,2024-11-04,-1,56,58,9,15,14,76,59,15,18,17
Colorado,Eastern Wash.,2024-11-04,1,76,59,15,18,17,56,58,9,15,14
Columbia,Loyola Maryland,2024-11-04,-1,81,56,8,13,30,78,63,10,16,18
Loyola Maryland,Columbia,2024-11-04,1,78,63,10,16,18,81,56,8,13,30
Coppin St.,Wake Forest,2024-11-04,-1,49,60,14,20,15,64,56,9,12,23
Wake Forest,Coppin St.,2024-11-04,1,64,56,9,12,23,49,60,14,20,15
Saint Francis,Dayton,2024-11-04,-1,57,58,5,13,11,87,68,17,7,25
Dayton,Saint Francis,2024-11-04,1,87,68,17,7,25,57,58,5,13,11
Southern Ind.,DePaul,2024-11-04,-1,78,62,7,14,12,80,64,9,10,22
DePaul,Southern Ind.,2024-11-04,1,80,64,9,10,22,78,62,7,14,12
Delaware St.,Virginia Tech,2024-11-04,-1,60,49,10,16,30,83,55,14,16,33
Virginia Tech,Delaware St.,2024-11-04,1,83,55,14,16,33,60,49,10,16,30
Denver,Stanford,2024-11-04,-1,62,48,10,20,23,85,65,15,11,18
Stanford,Denver,2024-11-04,1,85,65,15,11,18,62,48,10,20,23
Maine,Duke,2024-11-04,-1,62,57,7,14,18,96,63,11,13,20
Duke,Maine,2024-11-04,1,96,63,11,13,20,62,57,7,14,18
Lipscomb,Duquesne,2024-11-04,-1,77,48,3,17,26,72,62,9,14,19
Duquesne,Lipscomb,2024-11-04,1,72,62,9,14,19,77,48,3,17,26
East Texas A&M,Iowa,2024-11-04,-1,67,62,12,24,6,89,70,17,14,20
Iowa,East Texas A&M,2024-11-04,1,89,70,17,14,20,67,62,12,24,6
Eastern Ill.,Illinois,2024-11-04,-1,67,68,6,8,25,112,64,14,13,46
Illinois,Eastern Ill.,2024-11-04,1,112,64,14,13,46,67,68,6,8,25
Eastern Mich.,Texas St.,2024-11-04,-1,44,58,14,14,15,64,48,9,14,21
Texas St.,Eastern Mich.,2024-11-04,1,64,48,9,14,21,44,58,14,14,15
Elon,North Carolina,2024-11-04,-1,76,61,10,16,14,90,80,18,6,16
North Carolina,Elon,2024-11-04,1,90,80,18,6,16,76,61,10,16,14
FDU,Miami (FL),2024-11-04,-1,72,53,6,15,24,113,69,10,8,18
Miami (FL),FDU,2024-11-04,1,113,69,10,8,18,72,53,6,15,24
FGCU,UNC Greensboro,2024-11-04,-1,64,58,7,8,11,73,61,12,7,20
UNC Greensboro,FGCU,2024-11-04,1,73,61,12,7,20,64,58,7,8,11
Fairfield,Rhode Island,2024-11-04,-1,58,70,16,10,27,96,52,8,11,41
Rhode Island,Fairfield,2024-11-04,1,96,52,8,11,41,58,70,16,10,27
Fla. Atlantic,Indiana St.,2024-11-04,0,97,61,7,16,27,64,64,9,21,14
Indiana St.,Fla. Atlantic,2024-11-04,0,64,64,9,21,14,97,61,7,16,27
Florida A&M,TCU,2024-11-04,-1,59,54,9,14,21,105,75,18,5,16
TCU,Florida A&M,2024-11-04,1,105,75,18,5,16,59,54,9,14,21
Northern Ky.,Florida St.,2024-11-04,-1,62,49,5,22,23,74,63,7,12,18
Florida St.,Northern Ky.,2024-11-04,1,74,63,7,12,18,62,49,5,22,23
Florida,South Fla.,2024-11-04,0,98,63,11,10,33,83,63,11,16,17
South Fla.,Florida,2024-11-04,0,83,63,11,16,17,98,63,11,10,33
Fordham,St. John's (NY),2024-11-04,-1,60,55,9,19,20,92,66,10,11,15
St. John's (NY),Fordham,2024-11-04,1,92,66,10,11,15,60,55,9,19,20
NIU,Ga. Southern,2024-11-04,-1,65,58,11,19,17,80,64,10,15,12
Ga. Southern,NIU,2024-11-04,1,80,64,10,15,12,65,58,11,19,17
Gardner-Webb,Tennessee,2024-11-04,-1,64,55,10,15,15,80,55,8,11,21
Tennessee,Gardner-Webb,2024-11-04,1,80,55,8,11,21,64,55,10,15,15
N.C. Central,George Mason,2024-11-04,-1,58,57,12,10,25,75,51,18,17,41
George Mason,N.C. Central,2024-11-04,1,75,51,18,17,41,58,57,12,10,25
Mercyhurst,George Washington,2024-11-04,-1,59,56,11,13,13,76,53,15,12,34
George Washington,Mercyhurst,2024-11-04,1,76,53,15,12,34,59,56,11,13,13
Tennessee Tech,Georgia,2024-11-04,-1,78,61,6,13,11,83,66,16,13,18
Georgia,Tennessee Tech,2024-11-04,1,83,66,16,13,18,78,61,6,13,11
Green Bay,Oklahoma St.,2024-11-04,-1,76,51,3,19,16,89,69,19,13,24
Oklahoma St.,Green Bay,2024-11-04,1,89,69,19,13,24,76,51,3,19,16
Marist,Harvard,2024-11-04,-1,66,63,12,11,10,79,48,5,14,16
Harvard,Marist,2024-11-04,1,79,48,5,14,16,66,63,12,11,10
Holy Cross,Wisconsin,2024-11-04,-1,61,53,3,13,7,85,59,10,11,16
Wisconsin,Holy Cross,2024-11-04,1,85,59,10,11,16,61,53,3,13,7
Jackson St.,Houston,2024-11-04,-1,40,47,8,21,15,97,67,11,9,7
Houston,Jackson St.,2024-11-04,1,97,67,11,9,7,40,47,8,21,15
Howard,Kansas,2024-11-04,-1,57,58,8,17,12,87,53,5,14,16
Kansas,Howard,2024-11-04,1,87,53,5,14,16,57,58,8,17,12
UT Martin,Illinois St.,2024-11-04,-1,67,66,12,15,18,65,62,10,12,28
Illinois St.,UT Martin,2024-11-04,1,65,62,10,12,28,67,66,12,15,18
Iona,Princeton,2024-11-04,-1,80,56,11,17,22,81,56,9,10,22
Princeton,Iona,2024-11-04,1,81,56,9,10,22,80,56,11,17,22
Mississippi Val.,Iowa St.,2024-11-04,-1,44,51,6,24,11,83,59,11,12,29
Iowa St.,Mississippi Val.,2024-11-04,1,83,59,11,12,29,44,51,6,24,11
Ohio,James Madison,2024-11-04,-1,78,59,6,9,20,88,57,13,15,26
James Madison,Ohio,2024-11-04,1,88,57,13,15,26,78,59,6,9,20
Kent St.,Louisiana,2024-11-04,-1,70,50,12,16,28,66,49,4,11,21
Louisiana,Kent St.,2024-11-04,1,66,49,4,11,21,70,50,12,16,28
Wright St.,Kentucky,2024-11-04,-1,62,68,11,12,12,103,65,7,7,19
Kentucky,Wright St.,2024-11-04,1,103,65,7,7,19,62,68,11,12,12
LIU,Ole Miss,2024-11-04,-1,60,58,11,16,24,90,57,13,14,32
Ole Miss,LIU,2024-11-04,1,90,57,13,14,32,60,58,11,16,24
Lafayette,Villanova,2024-11-04,-1,63,59,9,12,12,75,60,13,17,11
Villanova,Lafayette,2024-11-04,1,75,60,13,17,11,63,59,9,12,12
Le Moyne,Syracuse,2024-11-04,-1,82,57,7,16,23,86,72,20,11,31
Syracuse,Le Moyne,2024-11-04,1,86,72,20,11,31,82,57,7,16,23
Lehigh,Northwestern,2024-11-04,-1,46,53,6,12,18,90,66,13,8,14
Northwestern,Lehigh,2024-11-04,1,90,66,13,8,14,46,53,6,12,18
Liberty,Valparaiso,2024-11-04,0,83,59,5,6,13,63,63,12,8,21
Valparaiso,Liberty,2024-11-04,0,63,63,12,8,21,83,59,5,6,13
Lindenwood,Oklahoma,2024-11-04,-1,60,65,11,12,14,93,65,11,12,17
Oklahoma,Lindenwood,2024-11-04,1,93,65,11,12,17,60,65,11,12,14
Morehead St.,Louisville,2024-11-04,-1,45,52,12,21,27,93,71,14,5,28
Louisville,Morehead St.,2024-11-04,1,93,71,14,5,28,45,52,12,21,27
Manhattan,Maryland,2024-11-04,-1,49,59,7,12,15,79,70,16,10,17
Maryland,Manhattan,2024-11-04,1,79,70,16,10,17,49,59,7,12,15
Stony Brook,Marquette,2024-11-04,-1,62,60,12,14,15,102,68,13,7,17
Marquette,Stony Brook,2024-11-04,1,102,68,13,7,17,62,60,12,14,15
New Hampshire,Massachusetts,2024-11-04,-1,74,74,18,15,17,103,79,12,8,11
Massachusetts,New Hampshire,2024-11-04,1,103,79,12,8,11,74,74,18,15,17
McNeese,South Dakota St.,2024-11-04,0,73,59,8,11,27,80,61,12,16,16
South Dakota St.,McNeese,2024-11-04,0,80,61,12,16,16,73,59,8,11,27
Missouri,Memphis,2024-11-04,-1,75,57,10,14,25,83,57,13,16,30
Memphis,Missouri,2024-11-04,1,83,57,13,16,30,75,57,10,14,25
Monmouth,Michigan St.,2024-11-04,-1,57,61,11,15,16,81,61,15,13,27
Michigan St.,Monmouth,2024-11-04,1,81,61,15,13,27,57,61,11,15,16
West Georgia,Mississippi St.,2024-11-04,-1,60,54,10,20,20,95,65,8,8,16
Mississippi St.,West Georgia,2024-11-04,1,95,65,8,8,16,60,54,10,20,20
USC Upstate,NC State,2024-11-04,-1,66,62,17,17,27,97,68,14,11,21
NC State,USC Upstate,2024-11-04,1,97,68,14,11,21,66,62,17,17,27
Penn,NJIT,2024-11-04,-1,58,49,12,11,35,57,54,8,12,13
NJIT,Penn,2024-11-04,1,57,54,8,12,13,58,49,12,11,35
Navy,Saint Joseph's,2024-11-04,-1,63,67,14,13,11,70,46,5,17,29
Saint Joseph's,Navy,2024-11-04,1,70,46,5,17,29,63,67,14,13,11
UTRGV,Nebraska,2024-11-04,-1,67,62,9,20,9,87,57,11,13,35
Nebraska,UTRGV,2024-11-04,1,87,57,11,13,35,67,62,9,20,9
Sam Houston,Nevada,2024-11-04,-1,75,57,9,11,21,91,53,11,12,31
Nevada,Sam Houston,2024-11-04,1,91,53,11,12,31,75,57,9,11,21
Nicholls,New Mexico,2024-11-04,-1,84,72,14,17,16,91,81,18,8,32
New Mexico,Nicholls,2024-11-04,1,91,81,18,8,32,84,72,14,17,16
North Florida,South Carolina,2024-11-04,-1,74,69,15,9,13,71,56,9,10,25
South Carolina,North Florida,2024-11-04,1,71,56,9,10,25,74,69,15,9,13
Ohio St.,Texas,2024-11-04,0,80,60,11,15,14,72,68,16,9,20
Texas,Ohio St.,2024-11-04,0,72,68,16,9,20,80,60,11,15,14
Utah Tech,Oregon St.,2024-11-04,-1,57,57,10,12,23,80,64,11,9,16
Oregon St.,Utah Tech,2024-11-04,1,80,64,11,9,16,57,57,10,12,23
UC Riverside,Oregon,2024-11-04,-1,76,65,8,8,12,91,66,15,8,25
Oregon,UC Riverside,2024-11-04,1,91,66,15,8,25,76,65,8,8,12
Radford,Pittsburgh,2024-11-04,-1,56,58,12,14,20,96,65,11,8,21
Pittsburgh,Radford,2024-11-04,1,96,65,11,8,21,56,58,12,14,20
Portland St.,Washington St.,2024-11-04,-1,92,68,13,15,21,100,57,12,21,32
Washington St.,Portland St.,2024-11-04,1,100,57,12,21,32,92,68,13,15,21
Quinnipiac,Yale,2024-11-04,-1,62,60,10,14,18,88,65,21,15,27
Yale,Quinnipiac,2024-11-04,1,88,65,21,15,27,62,60,10,14,18
Rider,UCLA,2024-11-04,-1,50,63,18,13,13,85,65,15,9,12
UCLA,Rider,2024-11-04,1,85,65,15,9,12,50,63,18,13,13
Robert Morris,West Virginia,2024-11-04,-1,59,68,16,14,12,87,60,6,11,12
West Virginia,Robert Morris,2024-11-04,1,87,60,6,11,12,59,68,16,14,12
Tarleton St.,SMU,2024-11-04,-1,62,49,9,23,24,96,63,13,13,22
SMU,Tarleton St.,2024-11-04,1,96,63,13,13,22,62,49,9,23,24
Sacred Heart,Temple,2024-11-04,-1,70,68,15,16,11,81,55,7,16,23
Temple,Sacred Heart,2024-11-04,1,81,55,7,16,23,70,68,15,16,11
Saint Louis,Santa Clara,2024-11-04,0,78,61,9,17,10,85,66,15,12,20
Santa Clara,Saint Louis,2024-11-04,0,85,66,15,12,20,78,61,9,17,10
Towson,Saint Mary's (CA),2024-11-04,-1,69,64,13,7,19,76,54,14,10,29
Saint Mary's (CA),Towson,2024-11-04,1,76,54,14,10,29,69,64,13,7,19
Saint Peter's,Seton Hall,2024-11-04,-1,53,42,10,19,25,57,44,12,14,37
Seton Hall,Saint Peter's,2024-11-04,1,57,44,12,14,37,53,42,10,19,25
Western Ill.,San Jose St.,2024-11-04,-1,59,51,8,13,10,55,46,6,6,29
San Jose St.,Western Ill.,2024-11-04,1,55,46,6,6,29,59,51,8,13,10
Southern U.,South Dakota,2024-11-04,-1,79,64,14,17,24,93,62,11,13,32
South Dakota,Southern U.,2024-11-04,1,93,62,11,13,32,79,64,14,17,24
Texas A&M,UCF,2024-11-04,-1,61,63,16,12,14,64,50,8,11,31
UCF,Texas A&M,2024-11-04,1,64,50,8,11,31,61,63,16,12,14
Texas Southern,Xavier,2024-11-04,-1,69,58,8,17,13,78,51,7,9,41
Xavier,Texas Southern,2024-11-04,1,78,51,7,9,41,69,58,8,17,13
Toledo,Troy,2024-11-04,-1,74,69,12,11,17,84,67,12,12,13
Troy,Toledo,2024-11-04,1,84,67,12,12,13,74,69,12,11,17
Vermont,UAB,2024-11-04,-1,67,58,8,5,16,62,68,18,7,15
UAB,Vermont,2024-11-04,1,62,68,18,7,15,67,58,8,5,16
UMES,Vanderbilt,2024-11-04,-1,63,52,4,15,19,102,72,17,1,33
Vanderbilt,UMES,2024-11-04,1,102,72,17,1,33,63,52,4,15,19
Wichita St.,Western Ky.,2024-11-04,-1,91,61,10,14,36,84,68,14,14,34
Western Ky.,Wichita St.,2024-11-04,1,84,68,14,14,34,91,61,10,14,36
Idaho St.,Arizona St.,2024-11-05,-1,48,67,16,9,13,55,55,8,14,12
Arizona St.,Idaho St.,2024-11-05,1,55,55,8,14,12,48,67,16,9,13
Central Ark.,BYU,2024-11-05,-1,50,56,11,18,13,88,72,20,11,11
BYU,Central Ark.,2024-11-05,1,88,72,20,11,11,50,56,11,18,13
Bethune-Cookman,Texas Tech,2024-11-05,-1,61,60,5,9,10,94,63,12,12,10
Texas Tech,Bethune-Cookman,2024-11-05,1,94,63,12,12,10,61,60,5,9,10
Cal Poly,San Francisco,2024-11-05,-1,78,64,10,19,15,86,62,8,15,28
San Francisco,Cal Poly,2024-11-05,1,86,62,8,15,28,78,64,10,19,15
Evansville,North Texas,2024-11-05,-1,63,47,3,13,17,80,57,15,10,24
North Texas,Evansville,2024-11-05,1,80,57,15,10,24,63,47,3,13,17
FIU,Rice,2024-11-05,-1,70,63,11,11,24,77,52,9,16,38
Rice,FIU,2024-11-05,1,77,52,9,16,38,70,63,11,11,24
New Orleans,Kansas St.,2024-11-05,-1,65,64,14,12,7,89,73,19,9,12
Kansas St.,New Orleans,2024-11-05,1,89,73,19,9,12,65,64,14,12,7
UC Davis,Washington,2024-11-05,-1,73,66,13,17,26,79,62,12,15,38
Washington,UC Davis,2024-11-05,1,79,62,12,15,38,73,66,13,17,26
Alcorn,Utah St.,2024-11-06,-1,46,55,10,20,11,101,72,20,9,18
Utah St.,Alcorn,2024-11-06,1,101,72,20,9,18,46,55,10,20,11
Lipscomb,Arkansas,2024-11-06,-1,60,58,5,19,9,76,63,6,12,7
Arkansas,Lipscomb,2024-11-06,1,76,63,6,12,7,60,58,5,19,9
Vermont,Auburn,2024-11-06,-1,43,58,10,16,11,94,64,8,9,11
Auburn,Vermont,2024-11-06,1,94,64,8,9,11,43,58,10,16,11
Oakland,Boise St.,2024-11-06,-1,43,66,13,10,9,87,62,12,7,14
Boise St.,Oakland,2024-11-06,1,87,62,12,7,14,43,66,13,10,9
CSUN,Le Moyne,2024-11-06,-1,97,60,12,14,33,75,53,9,15,40
Le Moyne,CSUN,2024-11-06,1,75,53,9,15,40,97,60,12,14,33
Campbell,Virginia,2024-11-06,-1,56,56,7,9,4,65,42,4,11,18
Virginia,Campbell,2024-11-06,1,65,42,4,11,18,56,56,7,9,4
Columbia,Villanova,2024-11-06,-1,90,54,7,8,26,80,60,13,12,17
Villanova,Columbia,2024-11-06,1,80,60,13,12,17,90,54,7,8,26
Coppin St.,High Point,2024-11-06,-1,51,64,12,13,13,93,55,8,12,25
High Point,Coppin St.,2024-11-06,1,93,55,8,12,25,51,64,12,13,13
UTRGV,Creighton,2024-11-06,-1,86,77,15,10,10,99,55,7,15,29
Creighton,UTRGV,2024-11-06,1,99,55,7,15,29,86,77,15,10,10
East Texas A&M,South Dakota,2024-11-06,-1,83,66,8,15,25,91,66,13,13,36
South Dakota,East Texas A&M,2024-11-06,1,91,66,13,13,36,83,66,8,15,25
Seattle U,Eastern Wash.,2024-11-06,-1,86,59,8,10,26,93,59,4,6,20
Eastern Wash.,Seattle U,2024-11-06,1,93,59,4,6,20,86,59,8,10,26
Lehigh,Georgetown,2024-11-06,-1,77,59,8,15,17,85,64,17,14,23
Georgetown,Lehigh,2024-11-06,1,85,64,17,14,23,77,59,8,15,17
West Georgia,Georgia Tech,2024-11-06,-1,62,64,6,8,18,85,68,13,12,17
Georgia Tech,West Georgia,2024-11-06,1,85,68,13,12,17,62,64,6,8,18
SIUE,Indiana,2024-11-06,-1,61,71,16,12,13,80,57,9,16,17
Indiana,SIUE,2024-11-06,1,80,57,9,16,17,61,71,16,12,13
ULM,LSU,2024-11-06,-1,60,62,9,14,13,95,67,14,12,19
LSU,ULM,2024-11-06,1,95,67,14,12,19,60,62,9,14,13
Mercyhurst,Morgan St.,2024-11-06,-1,78,59,15,15,25,73,53,14,18,24
Morgan St.,Mercyhurst,2024-11-06,1,73,53,14,18,24,78,59,15,15,25
Oral Roberts,Minnesota,2024-11-06,-1,57,58,12,15,11,80,52,5,9,17
Minnesota,Oral Roberts,2024-11-06,1,80,52,5,9,17,57,58,12,15,11
Stonehill,Notre Dame,2024-11-06,-1,60,56,7,10,18,89,61,17,14,22
Notre Dame,Stonehill,2024-11-06,1,89,61,17,14,22,60,56,7,10,18
Western Ill.,Pepperdine,2024-11-06,-1,64,61,7,9,11,77,52,6,13,19
Pepperdine,Western Ill.,2024-11-06,1,77,52,6,13,19,64,61,7,9,11
Rider,San Diego,2024-11-06,-1,68,56,9,14,22,67,63,14,13,17
San Diego,Rider,2024-11-06,1,67,63,14,13,17,68,56,9,14,22
Wagner,Rutgers,2024-11-06,-1,52,63,11,11,11,75,55,4,9,21
Rutgers,Wagner,2024-11-06,1,75,55,4,9,21,52,63,11,11,11
Sacred Heart,UConn,2024-11-06,-1,56,56,6,15,18,92,62,14,13,23
UConn,Sacred Heart,2024-11-06,1,92,62,14,13,23,56,56,6,15,18
UC San Diego,San Diego St.,2024-11-06,-1,58,61,9,8,13,63,50,5,14,15
San Diego St.,UC San Diego,2024-11-06,1,63,50,5,14,15,58,61,9,8,13
Jacksonville St.,Air Force,2024-11-07,-1,67,54,12,14,19,73,54,8,9,16
Air Force,Jacksonville St.,2024-11-07,1,73,54,8,9,16,67,54,12,14,19
Bucknell,Southern Ind.,2024-11-07,-1,75,57,15,16,34,69,60,9,12,18
Southern Ind.,Bucknell,2024-11-07,1,69,60,9,12,18,75,57,15,16,34
Cal Poly,California,2024-11-07,-1,73,58,10,18,23,91,65,14,10,28
California,Cal Poly,2024-11-07,1,91,65,14,10,28,73,58,10,18,23
Central Ark.,Utah,2024-11-07,-1,63,67,10,14,14,98,65,12,13,23
Utah,Central Ark.,2024-11-07,1,98,65,12,13,23,63,67,10,14,14
Stony Brook,Central Mich.,2024-11-07,-1,73,58,11,10,25,72,58,13,14,18
Central Mich.,Stony Brook,2024-11-07,1,72,58,13,14,18,73,58,11,10,25
Charleston So.,North Florida,2024-11-07,-1,66,61,9,15,20,90,63,10,13,18
North Florida,Charleston So.,2024-11-07,1,90,63,10,13,18,66,61,9,15,20
Chattanooga,Saint Mary's (CA),2024-11-07,-1,74,53,5,9,17,86,52,13,9,32
Saint Mary's (CA),Chattanooga,2024-11-07,1,86,52,13,9,32,74,53,5,9,17
Prairie View,DePaul,2024-11-07,-1,59,69,13,13,20,92,61,14,18,27
DePaul,Prairie View,2024-11-07,1,92,61,14,18,27,59,69,13,13,20
Robert Morris,Delaware,2024-11-07,-1,77,69,14,11,22,81,53,7,15,32
Delaware,Robert Morris,2024-11-07,1,81,53,7,15,32,77,69,14,11,22
Detroit Mercy,Loyola Chicago,2024-11-07,-1,65,59,20,18,29,87,59,15,15,27
Loyola Chicago,Detroit Mercy,2024-11-07,1,87,59,15,15,27,65,59,20,18,29
Florida A&M,SMU,2024-11-07,-1,73,61,10,15,26,102,66,12,11,27
SMU,Florida A&M,2024-11-07,1,102,66,12,11,27,73,61,10,15,26
Jacksonville,Florida,2024-11-07,-1,60,66,18,18,3,81,57,12,10,25
Florida,Jacksonville,2024-11-07,1,81,57,12,10,25,60,66,18,18,3
Idaho St.,Southern California,2024-11-07,-1,69,45,12,17,30,75,56,9,6,34
Southern California,Idaho St.,2024-11-07,1,75,56,9,6,34,69,45,12,17,30
UC Davis,Idaho,2024-11-07,-1,79,61,13,12,26,75,53,10,18,25
Idaho,UC Davis,2024-11-07,1,75,53,10,18,25,79,61,13,12,26
Illinois St.,North Dakota St.,2024-11-07,-1,77,59,8,5,14,68,66,8,6,6
North Dakota St.,Illinois St.,2024-11-07,1,68,66,8,6,6,77,59,8,5,14
Southern U.,Iowa,2024-11-07,-1,74,65,10,11,15,89,60,5,12,12
Iowa,Southern U.,2024-11-07,1,89,60,5,12,12,74,65,10,11,15
Niagara,Michigan St.,2024-11-07,-1,60,53,8,16,18,96,67,16,9,25
Michigan St.,Niagara,2024-11-07,1,96,67,16,9,25,60,53,8,16,18
Milwaukee,UNI,2024-11-07,-1,68,62,14,9,22,87,53,5,13,16
UNI,Milwaukee,2024-11-07,1,87,53,5,13,16,68,62,14,9,22
Montana St.,Wisconsin,2024-11-07,-1,67,54,7,14,10,79,53,9,11,21
