estimated_net,team,efficiency,value,combine,efficiency_rank,value_rank
278,Loyola Chicago,-10.482543665170024,-1.0628433023260886,-3.888753411179269,279,272
279,Central Mich.,-10.11179293599987,-1.240476436637918,-3.901871386446504,277,291
280,UIW,-9.82594892593887,-1.3919536331634161,-3.922152220996052,274,305
281,Southern U.,-10.965959189158411,-0.9055598841794156,-3.9236796756731143,282,254
282,Mount St. Mary's,-11.401013248396918,-0.7834320953802941,-3.9687064412852813,288,244
283,Western Mich.,-11.133486732989082,-0.9954080331781203,-4.036831643121409,283,262
284,South Dakota,-11.29239591903009,-1.0278447938999211,-4.107210131438972,287,269
285,Bellarmine,-11.142636332810785,-1.140006162418997,-4.140795213536533,284,281
286,Delaware,-11.439230359371912,-1.0721834273527573,-4.182297506958504,289,274
287,Northeastern,-10.510113019739453,-1.4710437128565617,-4.182764504921429,280,314
288,Chattanooga,-11.203113318562345,-1.3913758157662792,-4.334897066605098,285,304
289,Central Conn. St.,-12.49186133067812,-0.8714892280138727,-4.3576008588131465,300,251
290,Le Moyne,-11.460536314251685,-1.4033062592490304,-4.420475275749827,290,306
291,Eastern Ky.,-11.689699748117363,-1.3334157743330965,-4.440300966468376,292,298
292,Houston Christian,-11.71052894004933,-1.3574818397408959,-4.463395969833426,293,299
293,Southeastern La.,-11.234333285959416,-1.5922974345643925,-4.4849081899828995,286,321
294,UNC Greensboro,-12.578576708845464,-1.0252296257831712,-4.491233750701859,302,268
295,Sacred Heart,-12.86889038590243,-0.9555783549550846,-4.529571964239288,306,259
296,Jacksonville,-12.19370725970861,-1.2982742054577812,-4.56690412173303,295,293
297,Ball St.,-12.41993552526894,-1.2021853020133875,-4.567510368990053,299,288
298,West Ga.,-12.828688095663866,-1.0490722789674403,-4.582957023976368,305,271
299,Brown,-11.561452195974818,-1.6001708908207841,-4.588555282366994,291,322
300,Northwestern St.,-11.805659616898833,-1.5583543330863605,-4.632545918230102,294,319
301,Prairie View,-12.760252420275801,-1.1608234658810683,-4.640652152199488,304,282
302,East Texas A&M,-12.384145160171434,-1.4126162769205055,-4.704074941895784,298,307
303,Wagner,-12.224538150562056,-1.5222624558199696,-4.7329451642425955,296,318
304,USC Upstate,-12.366090814181652,-1.4969642611031597,-4.757702227026707,297,315
