Game
"NET -2 (Strength -2, Resume +0) Away loss: Alabama A&M vs. Georgia Tech 49-92 (2024-12-28)"
"NET +25 (Strength +22, Resume +32) Neutral win: Alabama St. vs. Omaha 85-67 (2024-11-22)"
"NET +12 (Strength +7, Resume +30) Neutral win: Alabama St. vs. Lamar University 77-75 (2024-11-23)"
"NET +10 (Strength +9, Resume +22) Home win: Alabama St. vs. UT Martin 103-93 (2024-12-11)"
"NET +6 (Strength +8, Resume +0) Away loss: Alabama St. vs. Missouri 65-82 (2024-12-30)"
"NET +4 (Strength +7, Resume +0) Away loss: Alabama St. vs. LSU 61-74 (2024-11-10)"
"NET +4 (Strength +7, Resume +0) Away loss: Alabama St. vs. Cincinnati 59-77 (2024-11-27)"
"NET +3 (Strength +5, Resume +0) Home win: Alabama St. vs. Mississippi Val. 84-55 (2025-01-04)"
"NET -1 (Strength +0, Resume -1) Away loss: Alabama St. vs. UNLV 79-93 (2024-11-04)"
"NET -1 (Strength -3, Resume +10) Away win: Alabama St. vs. Alabama A&M 69-65 (2025-01-18)"
"NET -4 (Strength -3, Resume +0) Away loss: Alabama St. vs. SMU 72-101 (2024-12-03)"
"NET -5 (Strength -6, Resume -3) Away loss: Alabama St. vs. Akron 78-97 (2024-11-24)"
"NET -5 (Strength -6, Resume -8) Away loss: Alabama St. vs. Jackson St. 70-77 (2025-01-11)"
"NET -8 (Strength -5, Resume -20) Away loss: Alabama St. vs. Alcorn 65-67 (2025-01-13)"
"NET -8 (Strength -6, Resume -19) Neutral loss: Alabama St. vs. Delaware St. 80-83 (2024-12-20)"
"NET -12 (Strength -11, Resume -8) Neutral loss: Alabama St. vs. Norfolk St. 54-71 (2024-12-19)"
"NET -12 (Strength -14, Resume +0) Home win: Alabama St. vs. Ark.-Pine Bluff 93-91 (2025-01-06)"
"NET -13 (Strength -12, Resume -14) Away loss: Alabama St. vs. Southern Miss. 64-81 (2024-12-05)"
"NET +2 (Strength +2, Resume +21) Home win: Alcorn vs. Alabama St. 67-65 (2025-01-13)"
"NET +1 (Strength +4, Resume +0) Away loss: Alcorn vs. Oklahoma 78-94 (2024-12-07)"
"NET +1 (Strength +4, Resume -1) Away loss: Alcorn vs. Rice 75-77 (2024-12-16)"
"NET +1 (Strength +2, Resume +0) Away loss: Alcorn vs. South Alabama 65-74 (2024-11-29)"
"NET +0 (Strength +2, Resume +0) Away loss: Alcorn vs. Washington 60-77 (2024-11-22)"
"NET +0 (Strength +1, Resume -1) Away loss: Alcorn vs. UAB 74-91 (2024-12-22)"
"NET +0 (Strength +0, Resume +8) Home win: Alcorn vs. Alabama A&M 62-52 (2025-01-11)"
"NET +0 (Strength +0, Resume +0) Away loss: Alcorn vs. TCU 48-71 (2024-11-19)"
"NET +0 (Strength +0, Resume +0) Away loss: Alcorn vs. UC Riverside 52-69 (2024-11-24)"
"NET +0 (Strength -1, Resume -1) Away loss: Alcorn vs. Wichita St. 54-78 (2024-12-04)"
"NET +0 (Strength -2, Resume +0) Away loss: Alcorn vs. Maryland 58-96 (2024-12-01)"
"NET -1 (Strength +0, Resume -6) Away loss: Alcorn vs. Texas Southern 57-66 (2025-01-18)"
"NET -1 (Strength +0, Resume -8) Home loss: Alcorn vs. Jackson St. 69-72 (2025-01-04)"
"NET -3 (Strength -2, Resume +0) Away loss: Alcorn vs. Utah 59-100 (2024-11-04)"
"NET -4 (Strength -2, Resume -1) Away loss: Alcorn vs. Tulane 51-84 (2024-11-11)"
"NET -9 (Strength -8, Resume +0) Away loss: Alcorn vs. Utah St. 46-101 (2024-11-06)"
"NET +22 (Strength +21, Resume +14) Away win: American vs. Loyola Maryland 73-54 (2025-01-13)"
"NET +14 (Strength +11, Resume +15) Home win: American vs. George Washington 81-71 (2024-12-04)"
"NET +11 (Strength +10, Resume +18) Away win: American vs. Holy Cross 74-65 (2025-01-18)"
"NET +7 (Strength +9, Resume +11) Home win: American vs. Harvard 67-55 (2024-11-10)"
"NET +6 (Strength +9, Resume -7) Away loss: American vs. High Point 73-80 (2024-11-18)"
"NET +6 (Strength +8, Resume +12) Neutral win: American vs. UAlbany 81-77 (2024-11-24)"
"NET +5 (Strength +5, Resume +11) Home win: American vs. Holy Cross 75-64 (2025-01-05)"
