estimated_net,team,efficiency,efficiency_rank,efficiency_norm,value,value_rank,value_norm,combine_norm
69,Stanford,11.351906919720232,75,0.6279744751338449,1.4903572748703582,61,0.6516968902279563,0.6327189581526672
70,Oklahoma St.,10.59588380113866,83,0.6181661629479642,1.8582898142171578,47,0.6880700179149628,0.632146933941364
71,Grand Canyon,11.619796058973204,73,0.6314499512726297,1.2795564872010046,69,0.6308575157599322,0.6313314641700902
72,Colorado,11.704181266001864,72,0.6325447279190901,1.1945455320257834,72,0.6224534905740321,0.6305264804500785
73,Butler,12.271007294557027,69,0.6398984800815674,0.882197299442803,84,0.5915753242484302,0.6302338489149399
74,Oklahoma,12.105878110871174,70,0.637756166513658,0.9183335188979308,81,0.5951476838084204,0.6292344699726105
75,Arizona St.,11.055481167660508,79,0.6241287775028107,1.391246414351332,67,0.6418989745795398,0.6276828169181565
76,Providence,12.29902796553033,68,0.6402620079708726,0.6279371804088465,99,0.5664396409741153,0.6254975345715211
77,Northwestern,12.616845522126434,63,0.6443852334869082,0.452139184260358,120,0.5490605774849744,0.6253203022865215
78,Creighton,10.945897189028864,80,0.6227070830511825,1.1291967142617543,74,0.6159932277852453,0.621364311997995
79,Ole Miss,11.151403751374767,78,0.6253732350116114,0.8977452584406254,83,0.5931123666065324,0.6189210613305955
80,Minnesota,11.412681792200802,74,0.628762941660457,0.6806511009555005,97,0.5716508412836343,0.6173405215850924
81,High Point,11.270530919672044,76,0.6269187386182627,0.7182362087571604,95,0.5753664352553626,0.6166082779456827
82,Liberty,9.209124676972094,90,0.6001749586023043,1.7787782945095714,49,0.6802096567084048,0.6161818982235244
83,Utah Valley,10.423368471448914,84,0.615928024762955,1.0475265364271806,77,0.6079194656443071,0.6143263129392255
84,Wichita St.,11.225292453835142,77,0.6263318346138308,0.5573839852181441,105,0.5594648830960716,0.6129584443102789
85,SFA,9.245275936653474,89,0.6006439691816806,1.434760070699008,63,0.6462006538527904,0.6097553061159026
86,George Mason,8.658823604091035,92,0.5930355939633377,1.6319307986913911,55,0.6656925859285429,0.6075669923563788
87,UNI,10.339633238008064,85,0.6148416805886043,0.6377229254415926,98,0.5674070415585281,0.6053547527825891
88,Illinois St.,10.622222011300837,82,0.6185078633289957,0.4461514771572457,121,0.5484686438783395,0.6045000194388644
89,Notre Dame,10.042845012814615,87,0.6109912803901921,0.7321782300621331,93,0.5767447175949487,0.6041419678311435
90,Hawaii,9.55737538829229,88,0.604693010513193,0.7523955071033387,92,0.5787433600651387,0.5995030804235821
