Team	Conference	NET Rank	PrevNET	AvgOppNETRank	AvgOppNET	WL	ConfWL	ConfSOS	NCWL	RoadWL	NETSOS	NETNCSOS	WABRk	WAB	NCWABRk	NCWAB	Q1	Q2	Q3	Q4
Wake Forest	ACC	66	64	42	100	16-15	7-11	58	9-4	2-7	49	98	74	-2.51	70	-0.42	1-9	5-5	3-1	7-0
Arizona St.	Big 12	67	67	8	85	16-15	7-11	23	9-4	2-9	17	59	59	-0.98	52	0.13	4-11	4-3	4-0	4-1
Grand Canyon	Mountain West	68	68	106	151	20-11	13-7	89	7-4	6-5	92	227	76	-2.60	128	-1.88	3-5	3-3	4-2	10-1
Florida St.	ACC	69	69	70	115	17-14	10-8	59	7-6	6-5	51	95	69	-1.53	153	-2.41	3-7	5-6	2-0	7-1
Northwestern	Big Ten	70	70	30	96	13-18	5-15	4	8-3	3-8	20	211	91	-4.30	80	-0.79	1-13	2-4	5-1	5-0
Colorado	Big 12	71	71	20	93	17-14	7-11	27	10-3	2-8	59	262	71	-1.93	77	-0.74	1-10	4-3	8-1	4-0
UNI(AQ)	MVC	72	72	109	155	22-12	15-9	136	7-3	6-6	137	195	102	-5.41	85	-0.89	0-3	4-4	7-5	11-0
Nevada	Mountain West	73	73	79	123	20-11	12-8	90	8-3	4-8	89	216	75	-2.53	82	-0.80	1-5	4-4	11-0	4-2
Minnesota	Big Ten	74	74	60	111	15-16	8-12	30	7-4	2-9	38	271	80	-3.27	140	-2.13	3-11	4-2	1-3	7-0
High Point(AQ)	Big South	75	76	314	246	27-4	18-1	286	9-3	7-2	361	361	70	-1.86	135	-2.04	0-0	0-2	5-2	22-0
Dayton	Atlantic 10	76	75	98	143	21-10	12-6	102	9-4	6-5	99	118	72	-1.96	74	-0.63	1-5	5-2	7-3	8-0
Southern California	Big Ten	77	78	20	93	17-13	7-13	38	10-0	5-6	31	239	54	-0.46	16	1.88	2-9	7-3	5-1	3-0
LSU	SEC	78	77	60	111	15-16	3-15	18	12-1	3-7	58	292	89	-3.88	26	1.13	1-11	3-3	3-2	8-0
Oklahoma St.	Big 12	79	79	38	98	18-13	6-12	6	12-1	2-7	41	252	51	-0.35	22	1.34	2-10	7-3	2-0	7-0
Wichita St.	American	80	80	127	165	20-10	13-5	127	7-5	7-4	116	193	88	-3.83	158	-2.46	2-3	3-3	4-3	11-1
Creighton	Big East	81	81	28	95	15-16	9-11	73	6-5	4-8	52	44	84	-3.62	102	-1.33	2-8	3-5	5-3	5-0
Butler	Big East	82	82	55	107	16-15	7-13	72	9-2	3-8	70	163	86	-3.70	40	0.57	2-6	3-7	6-2	5-0
Syracuse	ACC	83	83	56	108	15-16	6-12	64	9-4	2-7	53	92	85	-3.65	63	-0.33	1-10	4-3	3-3	7-0
Providence	Big East	84	84	50	104	14-17	7-13	71	7-4	3-8	67	109	100	-5.36	94	-1.10	1-8	2-7	7-2	4-0
Utah Valley	WAC	85	85	160	181	21-7	14-4	216	7-3	6-7	222	192	79	-2.94	83	-0.88	0-2	0-1	9-2	12-2
SFA	Southland	86	86	285	231	25-4	20-2	232	5-2	12-3	335	354	67	-1.23	101	-1.33	0-1	2-0	4-2	19-1
Colorado St.	Mountain West	87	87	95	141	19-11	11-9	87	8-2	6-5	94	265	78	-2.94	59	-0.27	3-4	4-5	3-1	9-1
Hofstra	CAA	88	88	177	188	21-10	14-6	206	7-4	9-8	223	206	108	-5.51	119	-1.76	0-1	2-2	9-4	10-3
George Mason	Atlantic 10	89	89	117	161	22-8	11-7	112	11-1	4-6	155	348	77	-2.62	49	0.25	1-2	1-2	12-4	8-0
George Washington	Atlantic 10	90	90	114	159	16-14	8-10	114	8-4	3-7	112	210	140	-7.50	109	-1.59	1-3	0-4	8-4	7-3
Marquette	Big East	91	91	34	97	12-19	7-13	70	5-6	2-10	62	84	132	-6.98	172	-2.82	1-8	2-7	5-4	4-0
Ole Miss	SEC	92	92	50	104	12-19	4-14	5	8-5	3-7	23	144	110	-5.56	127	-1.87	2-13	2-2	1-4	7-0
Notre Dame	ACC	93	93	50	104	13-18	4-14	61	9-4	2-9	42	79	101	-5.40	58	-0.21	2-10	2-6	2-1	7-1
Illinois St.	MVC	94	94	115	160	19-12	12-9	123	7-3	5-7	141	301	120	-6.12	106	-1.45	1-2	4-4	7-5	7-1
Georgetown	Big East	95	95	60	111	14-17	6-14	69	8-3	4-8	69	155	109	-5.54	67	-0.40	0-8	4-6	4-3	6-0
UNCW	CAA	96	96	249	215	24-6	15-4	228	9-2	11-2	344	362	81	-3.29	95	-1.18	0-0	0-1	8-3	16-2
Xavier	Big East	97	97	30	96	14-17	6-14	68	8-3	1-10	64	106	98	-5.21	56	-0.09	0-8	3-8	5-1	6-0
Wyoming	Mountain West	98	98	100	146	17-13	9-11	82	8-2	3-9	95	303	95	-4.95	71	-0.47	1-7	1-5	3-1	12-0
Kansas St.	Big 12	99	99	28	95	12-19	3-15	8	9-4	1-10	21	127	105	-5.48	76	-0.72	0-13	5-5	2-1	5-0
Liberty	CUSA	100	100	170	186	22-6	17-3	215	5-3	10-2	233	170	73	-2.05	96	-1.20	0-1	2-0	8-4	12-1
DePaul	Big East	101	101	79	123	16-15	8-12	67	8-3	4-7	79	334	94	-4.78	115	-1.69	1-5	4-7	5-2	6-1
Oregon	Big Ten	102	102	8	85	12-19	5-15	33	7-4	2-8	22	133	106	-5.50	99	-1.30	1-14	2-3	3-2	6-0
California Baptist	WAC	103	103	211	201	23-8	13-5	168	10-3	7-7	217	270	82	-3.44	81	-0.79	0-2	1-3	4-3	18-0
Sam Houston	CUSA	104	104	160	181	18-10	13-7	204	5-3	6-9	199	108	112	-5.63	84	-0.89	0-1	0-3	9-5	9-1
St. Thomas (MN)	Summit League	105	105	279	230	21-9	13-5	282	8-4	8-6	317	289	116	-5.87	134	-2.03	0-1	0-2	6-2	15-4
Davidson	Atlantic 10	106	106	106	151	17-12	10-8	121	7-4	7-4	110	129	103	-5.42	97	-1.25	0-4	2-3	8-4	7-1
South Carolina	SEC	107	107	72	116	13-18	4-14	3	9-4	2-8	47	308	107	-5.50	137	-2.07	0-12	3-5	1-1	9-0
Murray St.	MVC	108	108	117	161	20-12	12-9	126	8-3	5-6	126	229	113	-5.63	86	-0.89	0-3	4-5	6-4	10-0
Pittsburgh	ACC	109	109	45	101	12-19	5-13	56	7-6	3-8	54	128	129	-6.74	170	-2.74	2-9	2-6	3-3	5-1
UNLV	Mountain West	110	111	83	128	15-15	11-9	84	4-6	6-6	84	180	124	-6.35	226	-3.83	4-4	4-4	2-4	5-3
Mississippi St.	SEC	111	110	24	94	13-18	5-13	13	8-5	4-6	33	185	97	-5.09	141	-2.20	1-11	4-5	3-2	5-0
Hawaii	Big West	112	112	237	211	20-8	14-6	211	6-2	6-5	318	356	96	-5.09	98	-1.26	0-0	0-5	6-1	14-2
UIC	MVC	113	113	115	160	17-15	14-9	124	3-6	7-8	135	277	166	-8.75	260	-4.49	1-2	3-5	6-7	7-1
Bradley	MVC	114	114	117	161	20-12	14-8	122	6-4	4-7	164	345	125	-6.36	175	-2.93	0-2	4-5	8-4	8-1
North Dakota St.(AQ)	Summit League	115	115	296	238	24-7	17-2	285	7-5	10-5	350	336	92	-4.42	213	-3.60	0-0	0-1	5-4	19-2
Pacific	WCC	116	116	122	162	16-15	9-11	104	7-4	4-11	103	177	142	-7.56	110	-1.59	0-7	0-3	4-5	12-0
UAB	American	117	117	143	174	19-11	11-7	128	8-4	10-2	154	311	111	-5.61	143	-2.23	2-1	2-2	6-6	9-2
UC Irvine	Big West	118	118	173	187	20-10	15-5	209	5-5	7-5	265	282	122	-6.14	200	-3.34	0-0	1-5	5-5	14-0
San Francisco	WCC	119	119	100	146	16-16	9-11	94	7-5	4-7	93	183	139	-7.38	152	-2.41	0-6	3-4	6-3	7-3
UC San Diego	Big West	120	120	184	191	20-10	12-8	208	8-2	8-5	277	304	123	-6.25	72	-0.47	0-1	2-1	7-5	11-3
Southern Ill.	MVC	121	121	112	158	15-16	10-11	129	5-5	7-8	120	215	191	-9.78	179	-3.00	3-1	2-6	3-8	7-1
Seattle U	WCC	122	122	123	163	18-13	9-11	97	9-2	5-7	109	325	117	-5.93	73	-0.56	1-5	1-1	3-6	13-1
Fla. Atlantic	American	123	123	111	157	15-14	9-9	133	6-5	4-8	114	165	147	-7.92	157	-2.45	0-2	1-7	7-3	7-2
Saint Joseph's	Atlantic 10	124	124	136	169	19-10	13-5	117	6-5	6-7	122	287	90	-4.21	192	-3.18	0-3	1-3	10-2	8-2
Memphis	American	125	125	83	128	13-18	8-10	119	5-8	3-10	86	20	175	-9.12	177	-2.97	0-6	2-6	5-4	6-2
Troy(AQ)	Sun Belt	126	132	231	209	20-11	14-6	270	6-5	9-7	267	164	133	-7.03	155	-2.43	1-0	2-1	4-7	13-3
UTRGV	Southland	127	134	227	207	17-13	15-8	217	2-5	8-8	189	33	152	-8.11	162	-2.55	0-4	1-1	2-2	14-6
Montana St.	Big Sky	128	127	170	186	15-14	12-7	227	3-7	6-11	182	71	178	-9.15	237	-4.05	0-4	0-1	7-5	8-4
Wright St.	Horizon	129	133	243	212	20-11	17-5	265	3-6	9-5	302	208	141	-7.53	242	-4.18	0-1	0-2	5-6	15-2
William & Mary	CAA	130	128	195	197	18-12	11-9	199	7-3	6-9	224	205	144	-7.67	88	-0.96	0-1	1-2	5-6	12-3
Utah	Big 12	131	129	18	92	10-21	2-16	7	8-5	1-10	40	244	159	-8.33	165	-2.58	1-13	2-5	2-2	5-1
Winthrop	Big South	132	130	254	217	20-11	15-4	236	5-7	7-9	174	77	115	-5.70	208	-3.49	0-4	1-2	3-1	16-4
Penn St.	Big Ten	133	131	58	110	12-19	3-17	12	9-2	2-9	56	359	131	-6.81	92	-1.05	2-11	1-3	2-5	7-0
Portland St.	Big Sky	134	136	211	201	17-10	14-5	230	3-5	8-7	256	191	127	-6.45	197	-3.30	0-2	0-2	7-3	10-3
UC Santa Barbara	Big West	135	137	193	196	16-13	11-9	198	5-4	5-8	282	310	187	-9.38	167	-2.67	0-1	1-3	3-6	12-3
Navy	Patriot	136	138	361	277	24-7	18-2	335	6-5	10-4	355	290	93	-4.56	193	-3.19	0-1	0-3	1-0	23-3
ETSU	SoCon	137	126	300	240	21-11	15-6	293	6-5	8-6	336	278	148	-7.95	190	-3.16	0-1	0-1	2-4	19-5
Duquesne	Atlantic 10	138	140	110	156	15-14	9-9	101	6-5	5-7	105	237	137	-7.24	174	-2.92	0-5	2-3	5-5	8-1
Cornell	Ivy League	139	141	199	198	13-12	8-6	165	5-6	8-8	178	194	146	-7.77	218	-3.68	0-2	1-2	2-6	10-2
Washington St.	WCC	140	142	92	135	11-20	7-12	99	4-8	1-11	96	148	235	-11.81	287	-5.13	0-4	0-10	5-3	6-3
Rutgers	Big Ten	141	143	65	112	13-18	6-14	41	7-4	2-9	43	253	104	-5.43	133	-2.02	0-13	2-4	6-0	5-1
Rhode Island	Atlantic 10	142	144	132	167	16-15	7-11	115	9-4	4-7	128	291	168	-8.83	126	-1.87	2-1	2-5	5-6	7-3
North Texas	American	143	145	143	174	16-13	9-9	135	7-4	5-7	131	181	138	-7.25	111	-1.62	0-3	2-4	5-3	9-3
Toledo	MAC	144	146	164	184	15-14	11-7	152	4-7	5-9	167	176	172	-8.95	262	-4.57	0-3	1-2	3-7	11-2
Kent St.	MAC	145	147	195	197	21-8	14-4	163	7-4	7-5	221	295	87	-3.77	144	-2.23	0-2	0-2	10-3	11-1
Northern Colo.	Big Sky	146	139	214	202	17-12	10-9	225	7-3	8-7	248	217	153	-8.11	91	-1.02	1-1	0-2	6-5	10-4
Robert Morris	Horizon	147	135	256	218	20-11	14-8	263	6-3	8-7	316	259	145	-7.73	105	-1.41	0-1	1-0	8-3	11-7
Penn	Ivy League	148	148	162	183	15-11	9-5	162	6-6	4-8	188	225	130	-6.75	217	-3.66	0-2	0-3	5-4	10-2
Harvard	Ivy League	149	150	237	211	16-11	10-4	161	6-7	9-6	230	309	136	-7.16	284	-5.07	1-1	0-2	5-5	10-3
Fresno St.	Mountain West	150	149	95	141	12-18	7-13	85	5-5	2-10	90	272	195	-9.84	198	-3.31	0-7	0-7	5-2	7-2
Maryland	Big Ten	151	151	24	94	11-20	4-16	9	7-4	2-10	8	67	99	-5.30	75	-0.65	2-14	2-2	2-4	5-0
Richmond	Atlantic 10	152	152	129	166	14-16	5-13	107	9-3	3-8	142	350	207	-10.37	124	-1.84	1-2	0-3	7-9	6-2
Arkansas St.	Sun Belt	153	153	231	209	18-12	11-8	267	7-4	9-7	249	149	149	-7.99	103	-1.37	0-2	0-2	9-1	9-7
Middle Tenn.	CUSA	154	154	129	166	14-14	11-9	210	3-5	5-8	136	16	162	-8.56	118	-1.74	0-2	0-4	7-5	7-3
Bowling Green	MAC	155	155	214	202	15-13	9-9	157	6-4	6-6	245	329	184	-9.23	169	-2.73	0-1	1-3	4-6	10-3
Western Ky.	CUSA	156	156	150	177	16-13	11-9	184	5-4	5-7	191	124	157	-8.28	116	-1.72	0-2	2-2	3-7	11-2
Towson	CAA	157	160	158	180	17-15	11-10	190	6-5	3-10	158	82	186	-9.29	120	-1.81	0-3	1-3	5-6	11-3
Boston College	ACC	158	159	82	127	11-20	4-14	63	7-6	1-10	81	352	200	-10.02	267	-4.75	0-8	1-6	5-3	5-3
Valparaiso	MVC	159	157	127	165	17-15	12-10	125	5-5	4-10	119	232	163	-8.58	185	-3.09	0-4	2-6	6-3	9-2
St. Bonaventure	Atlantic 10	160	158	112	158	14-16	4-14	111	10-2	4-7	134	316	201	-10.08	61	-0.31	0-3	1-4	6-7	7-2
Idaho	Big Sky	161	161	204	199	16-14	11-9	222	5-5	7-9	290	302	209	-10.41	206	-3.46	0-0	0-4	8-7	8-3
UT Arlington	WAC	162	162	156	179	15-13	9-9	151	6-4	8-8	170	178	155	-8.18	122	-1.81	0-2	1-3	5-5	9-3
Col. of Charleston	CAA	163	163	173	187	20-11	14-5	176	6-6	8-4	218	250	126	-6.44	223	-3.79	0-1	2-3	4-6	14-1
Temple	American	164	164	164	184	15-15	8-10	143	7-5	5-6	190	284	203	-10.11	180	-3.01	0-2	2-3	2-8	11-2
Austin Peay	ASUN	165	165	307	243	20-9	16-4	312	4-5	9-7	325	179	119	-6.05	182	-3.04	0-1	0-3	2-3	18-2
Central Ark.	ASUN	166	166	279	230	20-12	17-4	299	3-8	6-10	201	36	134	-7.04	244	-4.18	0-4	0-0	3-3	17-5
Monmouth	CAA	167	169	214	202	18-14	13-7	189	5-7	6-9	268	322	198	-9.94	295	-5.35	0-1	0-3	8-4	10-6
Georgia Tech	ACC	168	167	83	128	11-20	2-16	55	9-4	1-9	74	339	188	-9.44	160	-2.53	1-10	0-5	1-5	9-0
Oregon St.	WCC	169	171	95	141	17-16	10-10	95	7-6	4-7	106	317	158	-8.32	243	-4.18	1-4	1-4	10-5	5-3
Marshall	Sun Belt	170	168	223	205	18-13	11-8	258	7-5	6-8	279	226	177	-9.13	168	-2.68	0-1	0-3	7-4	11-5
Kennesaw St.	CUSA	171	170	199	198	15-13	10-10	185	5-3	4-8	243	269	180	-9.20	112	-1.64	0-1	0-3	4-6	11-3
Merrimack	MAAC	172	173	288	233	23-10	19-3	297	4-7	9-8	292	143	121	-6.12	253	-4.35	0-2	0-1	4-5	19-2
Tennessee St.(AQ)	OVC	173	172	335	255	20-9	17-5	325	3-4	10-7	322	75	118	-6.03	132	-1.95	0-2	1-0	3-1	16-6
Fordham	Atlantic 10	174	174	179	189	14-14	8-10	106	6-4	4-6	172	365	181	-9.20	219	-3.71	0-2	2-3	4-6	8-3
Utah Tech	WAC	175	175	153	178	15-14	11-7	153	4-7	6-10	118	74	154	-8.18	222	-3.77	0-3	0-5	5-3	10-3
UC Davis	Big West	176	176	173	187	16-13	11-9	194	5-4	6-9	227	219	169	-8.84	142	-2.22	1-1	1-4	4-7	10-1
Oakland	Horizon	177	177	162	183	15-16	12-9	259	3-7	8-9	111	1	182	-9.21	130	-1.92	0-6	0-1	7-3	8-6
LMU (CA)	WCC	178	179	125	164	14-17	6-13	105	8-4	4-7	121	333	215	-10.81	164	-2.57	0-4	2-3	5-5	7-5
Cal St. Fullerton	Big West	179	180	147	176	15-15	12-8	193	3-7	6-10	175	100	196	-9.88	247	-4.27	0-2	1-5	5-6	9-2
Marist	MAAC	180	182	329	251	18-12	13-9	292	5-3	7-7	363	353	199	-9.97	145	-2.23	0-0	0-1	0-7	18-4
Mercer	SoCon	181	181	260	221	16-13	11-8	284	5-5	5-11	234	85	170	-8.92	138	-2.11	0-3	0-1	2-5	14-4
Columbia	Ivy League	182	184	224	206	14-12	5-9	156	9-3	7-7	206	286	150	-8.02	90	-1.02	0-3	0-1	3-5	11-3
Charlotte	American	183	183	136	169	14-16	9-9	132	5-7	4-8	139	243	205	-10.22	269	-4.76	0-4	0-5	4-5	10-2
Northern Ky.	Horizon	184	178	254	217	17-14	12-11	244	5-3	7-8	305	281	213	-10.61	113	-1.67	0-1	0-1	2-8	15-4
Furman(AQ)	SoCon	185	194	263	222	19-12	13-8	278	6-4	7-5	333	285	173	-8.96	149	-2.35	0-1	0-2	5-5	14-4
South Alabama	Sun Belt	186	185	274	227	19-11	11-8	253	8-3	8-6	340	346	156	-8.24	125	-1.84	0-0	0-2	8-5	11-4
New Mexico St.	CUSA	187	186	169	185	12-15	8-12	202	4-3	3-8	251	241	228	-11.42	114	-1.69	0-1	1-1	5-8	6-5
Queens (NC)(AQ)	ASUN	188	187	274	227	20-13	16-5	303	4-8	6-10	193	30	143	-7.65	221	-3.75	0-5	0-0	2-4	18-4
Siena	MAAC	189	188	347	263	22-11	15-7	305	7-4	9-7	359	337	164	-8.60	171	-2.75	0-1	0-0	1-5	21-5
