season,coachid,coach,team,todisplay,score,bgcolor,fgcolor,isseason,conference,state,bordercolor,firstseason,nextyear,w,l,confw,confl,tourneyscore
2019,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,10-6 BWst,22,#FFFFFF,#000000,4,Big West,California,black,2018.0,Return,22,10,10,6,0.0
2020,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,10-6 BWst,21,#FFFFFF,#000000,4,Big West,California,black,2018.0,Return,21,10,10,6,0.0
2021,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,"15-3 BWst
NCAA 64",32,#003660,#FEBC11,4,Big West,California,black,2018.0,Return,22,5,15,3,0.1
2022,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,9-6 BWst,17,#FFFFFF,#000000,4,Big West,California,black,2018.0,Return,17,11,9,6,0.0
2023,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,"15-5 BWst
NCAA 64",37,#003660,#FEBC11,4,Big West,California,black,2018.0,Return,27,8,15,5,0.1
2024,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,9-11 BWst,16,#FFFFFF,#000000,4,Big West,California,black,2018.0,Return,16,15,9,11,0.0
2025,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,11-9 BWst,21,#FFFFFF,#000000,4,Big West,California,black,2018.0,Return,21,13,11,9,0.0
2026,joe-pasternack-1,Joe Pasternack,UC Santa Barbara,7-3 BWst,14,#FFFFFF,#000000,4,Big West,California,black,2018.0,Last,14,7,7,3,0.0
2013,joe-price-1,Joseph Price,Grambling,0-18 SWAC,0,#FFFFFF,#000000,4,SWAC,Louisiana,black,2013.0,Return,0,28,0,18,0.0
2014,joe-price-1,Joseph Price,Grambling,3-15 SWAC,5,#FFFFFF,#000000,4,SWAC,Louisiana,black,2013.0,Fired,5,24,3,15,0.0
2015,joe-price-1,Joseph Price,Grambling,Fired,0,#FFFFFF,#000000,0,SWAC,Louisiana,white,2013.0,Last,,,,,
1974,joe-ramsey-1,Joe Ramsey,Oklahoma,10-7 B8,18,#FFFFFF,#000000,4,Big 8,Oklahoma,black,1974.0,Return,18,8,10,7,0.0
1975,joe-ramsey-1,Joe Ramsey,Oklahoma,7-10 B8,13,#FFFFFF,#000000,4,Big 8,Oklahoma,black,1974.0,Unknown,13,13,7,10,0.0
1976,joe-ramsey-1,Joe Ramsey,Oklahoma,?,0,#FFFFFF,#000000,0,Big 8,Oklahoma,white,1974.0,Last,,,,,
1929,joe-ryan-1,Joe Ryan,Colorado St.,6-6 MSAC,6,#FFFFFF,#000000,4,MSAC,Colorado,black,1929.0,Return,6,6,6,6,0.0
1930,joe-ryan-1,Joe Ryan,Colorado St.,4-10 MSAC,4,#FFFFFF,#000000,4,MSAC,Colorado,black,1929.0,Return,4,10,4,10,0.0
1931,joe-ryan-1,Joe Ryan,Colorado St.,4-8 MSAC,4,#FFFFFF,#000000,4,MSAC,Colorado,black,1929.0,Return,4,8,4,8,0.0
1932,joe-ryan-1,Joe Ryan,Colorado St.,4-8 MSAC,4,#FFFFFF,#000000,4,MSAC,Colorado,black,1929.0,Return,4,8,4,8,0.0
1933,joe-ryan-1,Joe Ryan,Colorado St.,7-5 MSAC,7,#FFFFFF,#000000,4,MSAC,Colorado,black,1929.0,Return,7,5,7,5,0.0
1934,joe-ryan-1,Joe Ryan,Colorado St.,5-7 MSAC,5,#FFFFFF,#000000,4,MSAC,Colorado,black,1929.0,Last,5,7,5,7,0.0
2001,joe-scott-2,Joe Scott,Air Force,3-11 MWC,8,#FFFFFF,#000000,4,MWC,Colorado,black,2001.0,Return,8,21,3,11,0.0
2002,joe-scott-2,Joe Scott,Air Force,3-11 MWC,9,#FFFFFF,#000000,4,MWC,Colorado,black,2001.0,Return,9,19,3,11,0.0
2003,joe-scott-2,Joe Scott,Air Force,3-11 MWC,12,#FFFFFF,#000000,4,MWC,Colorado,black,2001.0,Return,12,16,3,11,0.0
2004,joe-scott-2,Joe Scott,Air Force,"12-2 MWC
NCAA 64",32,#003594,#FFFFFF,4,MWC,Colorado,black,2001.0,Return,22,7,12,2,0.1
2005,joe-scott-2,Joe Scott,Air Force,Princeton,0,#FFFFFF,#000000,0,MWC,Colorado,white,2001.0,Return,,,,,
2021,joe-scott-2,Joe Scott,Air Force,3-17 MWC,5,#FFFFFF,#000000,4,MWC,Colorado,black,2021.0,Return,5,20,3,17,0.0
2022,joe-scott-2,Joe Scott,Air Force,4-13 MWC,11,#FFFFFF,#000000,4,MWC,Colorado,black,2021.0,Return,11,18,4,13,0.0
2023,joe-scott-2,Joe Scott,Air Force,5-13 MWC,14,#FFFFFF,#000000,4,MWC,Colorado,black,2021.0,Return,14,18,5,13,0.0
2024,joe-scott-2,Joe Scott,Air Force,2-16 MWC,9,#FFFFFF,#000000,4,MWC,Colorado,black,2021.0,Return,9,22,2,16,0.0
2025,joe-scott-2,Joe Scott,Air Force,1-19 MWC,4,#FFFFFF,#000000,4,MWC,Colorado,black,2021.0,Return,4,28,1,19,0.0
2026,joe-scott-2,Joe Scott,Air Force,0-9 MWC,3,#FFFFFF,#000000,4,MWC,Colorado,black,2021.0,Last,3,17,0,9,0.0
2008,joe-scott-2,Joe Scott,Denver,7-11 SB,11,#FFFFFF,#000000,4,Sun Belt,Colorado,black,2008.0,Return,11,19,7,11,0.0
2009,joe-scott-2,Joe Scott,Denver,9-9 SB,15,#FFFFFF,#000000,4,Sun Belt,Colorado,black,2008.0,Return,15,16,9,9,0.0
2010,joe-scott-2,Joe Scott,Denver,10-8 SB,19,#FFFFFF,#000000,4,Sun Belt,Colorado,black,2008.0,Return,19,13,10,8,0.0
2011,joe-scott-2,Joe Scott,Denver,9-7 SB,13,#FFFFFF,#000000,4,Sun Belt,Colorado,black,2008.0,Return,13,17,9,7,0.0
2012,joe-scott-2,Joe Scott,Denver,11-5 SB,22,#FFFFFF,#000000,4,Sun Belt,Colorado,black,2008.0,Return,22,9,11,5,0.0
2013,joe-scott-2,Joe Scott,Denver,16-2 WAC,22,#FFFFFF,#000000,4,WAC,Colorado,black,2008.0,Return,22,10,16,2,0.0
2014,joe-scott-2,Joe Scott,Denver,8-6 Sum,16,#FFFFFF,#000000,4,Summit,Colorado,black,2008.0,Return,16,15,8,6,0.0
2015,joe-scott-2,Joe Scott,Denver,6-10 Sum,12,#FFFFFF,#000000,4,Summit,Colorado,black,2008.0,Return,12,18,6,10,0.0
2016,joe-scott-2,Joe Scott,Denver,7-9 Sum,16,#FFFFFF,#000000,4,Summit,Colorado,black,2008.0,Fired,16,15,7,9,0.0
2017,joe-scott-2,Joe Scott,Denver,Fired,0,#FFFFFF,#000000,0,Summit,Colorado,white,2008.0,Last,,,,,
2005,joe-scott-2,Joe Scott,Princeton,6-8 Ivy,15,#FFFFFF,#000000,4,Ivy,New Jersey,black,2005.0,Return,15,13,6,8,0.0
2006,joe-scott-2,Joe Scott,Princeton,10-4 Ivy,12,#FFFFFF,#000000,4,Ivy,New Jersey,black,2005.0,Return,12,15,10,4,0.0
2007,joe-scott-2,Joe Scott,Princeton,2-12 Ivy,11,#FFFFFF,#000000,4,Ivy,New Jersey,black,2005.0,Left,11,17,2,12,0.0
2008,joe-scott-2,Joe Scott,Princeton,Denver,0,#FFFFFF,#000000,0,Ivy,New Jersey,white,2005.0,Last,,,,,
1978,joe-sexson-1,Joe Sexson,Butler,15-11,15,#FFFFFF,#000000,4,Ind,Indiana,black,1978.0,Return,15,11,,,0.0
1979,joe-sexson-1,Joe Sexson,Butler,11-16,11,#FFFFFF,#000000,4,Ind,Indiana,black,1978.0,Return,11,16,,,0.0
1980,joe-sexson-1,Joe Sexson,Butler,2-3 MCC,12,#FFFFFF,#000000,4,MW City,Indiana,black,1978.0,Return,12,15,2,3,0.0
1981,joe-sexson-1,Joe Sexson,Butler,1-10 MCC,5,#FFFFFF,#000000,4,MW City,Indiana,black,1978.0,Return,5,22,1,10,0.0
1982,joe-sexson-1,Joe Sexson,Butler,3-9 MCC,7,#FFFFFF,#000000,4,MW City,Indiana,black,1978.0,Return,7,20,3,9,0.0
1983,joe-sexson-1,Joe Sexson,Butler,9-5 MCC,15,#FFFFFF,#000000,4,MW City,Indiana,black,1978.0,Return,15,13,9,5,0.0
1984,joe-sexson-1,Joe Sexson,Butler,7-7 MCC,13,#FFFFFF,#000000,4,MW City,Indiana,black,1978.0,Return,13,15,7,7,0.0
1985,joe-sexson-1,Joe Sexson,Butler,9-5 MCC,19,#FFFFFF,#000000,4,MW City,Indiana,black,1978.0,Return,19,10,9,5,0.0
1986,joe-sexson-1,Joe Sexson,Butler,2-10 MCC,9,#FFFFFF,#000000,4,MW Coll,Indiana,black,1978.0,Return,9,19,2,10,0.0
1987,joe-sexson-1,Joe Sexson,Butler,5-7 MCC,12,#FFFFFF,#000000,4,MW Coll,Indiana,black,1978.0,Return,12,16,5,7,0.0
1988,joe-sexson-1,Joe Sexson,Butler,5-5 MCC,14,#FFFFFF,#000000,4,MW Coll,Indiana,black,1978.0,Return,14,14,5,5,0.0
1989,joe-sexson-1,Joe Sexson,Butler,3-9 MCC,11,#FFFFFF,#000000,4,MW Coll,Indiana,black,1978.0,Unknown,11,17,3,9,0.0
1990,joe-sexson-1,Joe Sexson,Butler,?,0,#FFFFFF,#000000,0,MW Coll,Indiana,white,1978.0,Last,,,,,
1966,joe-stowell-1,Joe Stowell,Bradley,9-5 MVC,20,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,20,6,9,5,0.0
1967,joe-stowell-1,Joe Stowell,Bradley,6-8 MVC,17,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,17,9,6,8,0.0
1968,joe-stowell-1,Joe Stowell,Bradley,12-4 MVC,19,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,19,9,12,4,0.0
1969,joe-stowell-1,Joe Stowell,Bradley,7-9 MVC,14,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,14,12,7,9,0.0
1970,joe-stowell-1,Joe Stowell,Bradley,7-9 MVC,14,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,14,12,7,9,0.0
1971,joe-stowell-1,Joe Stowell,Bradley,6-8 MVC,13,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,13,12,6,8,0.0
1972,joe-stowell-1,Joe Stowell,Bradley,8-6 MVC,17,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,17,9,8,6,0.0
1973,joe-stowell-1,Joe Stowell,Bradley,4-10 MVC,12,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,12,14,4,10,0.0
1974,joe-stowell-1,Joe Stowell,Bradley,9-3 MVC,20,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,20,8,9,3,0.0
1975,joe-stowell-1,Joe Stowell,Bradley,7-7 MVC,15,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,15,11,7,7,0.0
1976,joe-stowell-1,Joe Stowell,Bradley,4-8 MVC,13,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,13,13,4,8,0.0
1977,joe-stowell-1,Joe Stowell,Bradley,4-8 MVC,9,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Return,9,18,4,8,0.0
1978,joe-stowell-1,Joe Stowell,Bradley,8-8 MVC,14,#FFFFFF,#000000,4,MVC,Illinois,black,1966.0,Fired,14,14,8,8,0.0
1979,joe-stowell-1,Joe Stowell,Bradley,Fired,0,#FFFFFF,#000000,0,MVC,Illinois,white,1966.0,Last,,,,,
1972,joe-swank-1,,Centenary LA,?,0,#FFFFFF,#000000,0,,,white,,Last,,,,,
1961,joe-swank-1,Joe Swank,Tulsa,2-10 MVC,8,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Return,8,17,2,10,0.0
1962,joe-swank-1,Joe Swank,Tulsa,4-8 MVC,7,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Return,7,19,4,8,0.0
1963,joe-swank-1,Joe Swank,Tulsa,5-7 MVC,17,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Return,17,8,5,7,0.0
1964,joe-swank-1,Joe Swank,Tulsa,2-10 MVC,10,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Return,10,15,2,10,0.0
1965,joe-swank-1,Joe Swank,Tulsa,7-7 MVC,14,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Return,14,11,7,7,0.0
1966,joe-swank-1,Joe Swank,Tulsa,7-8 MVC,16,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Return,16,13,7,8,0.0
1967,joe-swank-1,Joe Swank,Tulsa,10-4 MVC,19,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Return,19,8,10,4,0.0
1968,joe-swank-1,Joe Swank,Tulsa,5-11 MVC,11,#FFFFFF,#000000,4,MVC,Oklahoma,black,1961.0,Left,11,12,5,11,0.0
1969,joe-swank-1,Joe Swank,Tulsa,Centenary LA,0,#FFFFFF,#000000,0,MVC,Oklahoma,white,1961.0,Last,,,,,
1979,joe-williams-2,Joe Williams,Florida St.,7-3 Metro,19,#FFFFFF,#000000,4,Metro,Florida,black,1979.0,Return,19,10,7,3,0.0
1980,joe-williams-2,Joe Williams,Florida St.,"7-5 Metro
NCAA 32",37,#782F40,#CEB888,4,Metro,Florida,black,1979.0,Return,22,9,7,5,0.15
1981,joe-williams-2,Joe Williams,Florida St.,7-5 Metro,17,#FFFFFF,#000000,4,Metro,Florida,black,1979.0,Return,17,11,7,5,0.0
1982,joe-williams-2,Joe Williams,Florida St.,4-8 Metro,11,#FFFFFF,#000000,4,Metro,Florida,black,1979.0,Return,11,17,4,8,0.0
1983,joe-williams-2,Joe Williams,Florida St.,5-7 Metro,14,#FFFFFF,#000000,4,Metro,Florida,black,1979.0,Return,14,14,5,7,0.0
1984,joe-williams-2,Joe Williams,Florida St.,9-5 Metro,20,#FFFFFF,#000000,4,Metro,Florida,black,1979.0,Return,20,11,9,5,0.0
1985,joe-williams-2,Joe Williams,Florida St.,4-10 Metro,14,#FFFFFF,#000000,4,Metro,Florida,black,1979.0,Return,14,16,4,10,0.0
1986,joe-williams-2,Joe Williams,Florida St.,3-9 Metro,12,#FFFFFF,#000000,4,Metro,Florida,black,1979.0,Unknown,12,17,3,9,0.0
1987,joe-williams-2,Joe Williams,Florida St.,?,0,#FFFFFF,#000000,0,Metro,Florida,white,1979.0,Last,,,,,
1971,joe-williams-2,Joe Williams,Furman,"5-5 SoCon
NCAA 25",30,#582C83,#FFFFFF,4,Southern,South Carolina,black,1971.0,Return,15,12,5,5,0.15
1972,joe-williams-2,Joe Williams,Furman,8-3 SoCon,17,#FFFFFF,#000000,4,Southern,South Carolina,black,1971.0,Return,17,11,8,3,0.0
1973,joe-williams-2,Joe Williams,Furman,"9-2 SoCon
NCAA 25",35,#582C83,#FFFFFF,4,Southern,South Carolina,black,1971.0,Return,20,9,9,2,0.15
1974,joe-williams-2,Joe Williams,Furman,"11-1 SoCon
Sweet 16",42,#582C83,#FFFFFF,4,Southern,South Carolina,black,1971.0,Return,22,9,11,1,0.2
1975,joe-williams-2,Joe Williams,Furman,"12-0 SoCon
NCAA 32",37,#582C83,#FFFFFF,4,Southern,South Carolina,black,1971.0,Return,22,7,12,0,0.15
1976,joe-williams-2,Joe Williams,Furman,6-7 SoCon,9,#FFFFFF,#000000,4,Southern,South Carolina,black,1971.0,Return,9,18,6,7,0.0
1977,joe-williams-2,Joe Williams,Furman,9-2 SoCon,18,#FFFFFF,#000000,4,Southern,South Carolina,black,1971.0,Return,18,10,9,2,0.0
1978,joe-williams-2,Joe Williams,Furman,"7-5 SoCon
NCAA 32",34,#582C83,#FFFFFF,4,Southern,South Carolina,black,1971.0,Left,19,11,7,5,0.15
1979,joe-williams-2,Joe Williams,Furman,Florida St.,0,#FFFFFF,#000000,0,Southern,South Carolina,white,1971.0,Last,,,,,
1967,joe-williams-2,Joe Williams,Jacksonville,8-17,8,#FFFFFF,#000000,4,Ind,Florida,black,1967.0,Return,8,17,,,0.0
1968,joe-williams-2,Joe Williams,Jacksonville,13-13,13,#FFFFFF,#000000,4,Ind,Florida,black,1967.0,Return,13,13,,,0.0
1969,joe-williams-2,Joe Williams,Jacksonville,17-7,17,#FFFFFF,#000000,4,Ind,Florida,black,1967.0,Return,17,7,,,0.0
1970,joe-williams-2,Joe Williams,Jacksonville,"27-2
Runner-up",62,#004D40,#FFFFFF,4,Ind,Florida,black,1967.0,Left,27,2,,,0.35000000000000003
1971,joe-williams-2,Joe Williams,Jacksonville,Furman,0,#FFFFFF,#000000,0,Ind,Florida,white,1967.0,Last,,,,,
1979,joedy-gardner-1,Joedy Gardner,Northern Ariz.,8-6 BSky,13,#FFFFFF,#000000,4,Big Sky,Arizona,black,1979.0,Return,13,14,8,6,0.0
1980,joedy-gardner-1,Joedy Gardner,Northern Ariz.,5-9 BSky,14,#FFFFFF,#000000,4,Big Sky,Arizona,black,1979.0,Return,14,12,5,9,0.0
1981,joedy-gardner-1,Joedy Gardner,Northern Ariz.,2-12 BSky,8,#FFFFFF,#000000,4,Big Sky,Arizona,black,1979.0,Unknown,8,17,2,12,0.0
1982,joedy-gardner-1,Joedy Gardner,Northern Ariz.,?,0,#FFFFFF,#000000,0,Big Sky,Arizona,white,1979.0,Last,,,,,
1975,joedy-gardner-1,Joedy Gardner,West Virginia,14-13,14,#FFFFFF,#000000,4,Ind,West Virginia,black,1975.0,Return,14,13,,,0.0
1976,joedy-gardner-1,Joedy Gardner,West Virginia,15-13,15,#FFFFFF,#000000,4,Ind,West Virginia,black,1975.0,Return,15,13,,,0.0
1977,joedy-gardner-1,Joedy Gardner,West Virginia,5-5 ECBL,18,#FFFFFF,#000000,4,ECBL,West Virginia,black,1975.0,Return,18,11,5,5,0.0
1978,joedy-gardner-1,Joedy Gardner,West Virginia,3-7 EAA,12,#FFFFFF,#000000,4,EAA,West Virginia,black,1975.0,Left,12,16,3,7,0.0
1979,joedy-gardner-1,Joedy Gardner,West Virginia,N Arizona,0,#FFFFFF,#000000,0,EAA,West Virginia,white,1975.0,Last,,,,,
1950,joel-eaves-1,Joel Eaves,Auburn,12-6 SEC,17,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,17,7,12,6,0.0
1951,joel-eaves-1,Joel Eaves,Auburn,7-9 SEC,12,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,12,10,7,9,0.0
1952,joel-eaves-1,Joel Eaves,Auburn,6-10 SEC,14,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,14,12,6,10,0.0
1953,joel-eaves-1,Joel Eaves,Auburn,8-8 SEC,13,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,13,8,8,8,0.0
1954,joel-eaves-1,Joel Eaves,Auburn,12-8 SEC,16,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,16,8,12,8,0.0
1955,joel-eaves-1,Joel Eaves,Auburn,7-9 SEC,11,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,11,9,7,9,0.0
1956,joel-eaves-1,Joel Eaves,Auburn,8-6 SEC,11,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,11,10,8,6,0.0
1957,joel-eaves-1,Joel Eaves,Auburn,8-7 SEC,13,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,13,8,8,7,0.0
1958,joel-eaves-1,Joel Eaves,Auburn,12-4 SEC,16,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,16,6,12,4,0.0
1959,joel-eaves-1,Joel Eaves,Auburn,14-2 SEC,20,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,20,2,14,2,0.0
1960,joel-eaves-1,Joel Eaves,Auburn,14-2 SEC,19,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,19,3,14,2,0.0
1961,joel-eaves-1,Joel Eaves,Auburn,9-7 SEC,15,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,15,7,9,7,0.0
1962,joel-eaves-1,Joel Eaves,Auburn,13-3 SEC,18,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Return,18,6,13,3,0.0
1963,joel-eaves-1,Joel Eaves,Auburn,10-4 SEC,13,#FFFFFF,#000000,4,SEC,Alabama,black,1950.0,Retired,13,2,10,4,0.0
1964,joel-eaves-1,Joel Eaves,Auburn,Retired,0,#FFFFFF,#000000,0,SEC,Alabama,white,1950.0,Last,,,,,
1999,joel-sobotka-1,Joel Sobotka,Portland St.,9-7 BSky,17,#FFFFFF,#000000,4,Big Sky,Oregon,black,1999.0,Return,17,11,9,7,0.0
2000,joel-sobotka-1,Joel Sobotka,Portland St.,7-9 BSky,15,#FFFFFF,#000000,4,Big Sky,Oregon,black,1999.0,Return,15,14,7,9,0.0
2001,joel-sobotka-1,Joel Sobotka,Portland St.,6-10 BSky,9,#FFFFFF,#000000,4,Big Sky,Oregon,black,1999.0,Return,9,18,6,10,0.0
2002,joel-sobotka-1,Joel Sobotka,Portland St.,6-8 BSky,12,#FFFFFF,#000000,4,Big Sky,Oregon,black,1999.0,Resigned,12,16,6,8,0.0
2003,joel-sobotka-1,Joel Sobotka,Portland St.,Resigned,0,#FFFFFF,#000000,0,Big Sky,Oregon,white,1999.0,Last,,,,,
1995,joey-cantafio-1,Joey Cantafio,Furman,6-8 SoCon,10,#FFFFFF,#000000,4,Southern,South Carolina,black,1995.0,Return,10,17,6,8,0.0
1996,joey-cantafio-1,Joey Cantafio,Furman,6-8 SoCon,10,#FFFFFF,#000000,4,Southern,South Carolina,black,1995.0,Return,10,17,6,8,0.0
1997,joey-cantafio-1,Joey Cantafio,Furman,4-10 SoCon,10,#FFFFFF,#000000,4,Southern,South Carolina,black,1995.0,Resigned,10,17,4,10,0.0
1998,joey-cantafio-1,Joey Cantafio,Furman,Resigned,0,#FFFFFF,#000000,0,Southern,South Carolina,white,1995.0,Last,,,,,
1987,joey-cantafio-1,Joey Cantafio,VMI,5-11 SoCon,11,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Return,11,17,5,11,0.0
1988,joey-cantafio-1,Joey Cantafio,VMI,6-10 SoCon,13,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Return,13,17,6,10,0.0
1989,joey-cantafio-1,Joey Cantafio,VMI,5-9 SoCon,11,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Return,11,17,5,9,0.0
1990,joey-cantafio-1,Joey Cantafio,VMI,7-7 SoCon,14,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Return,14,15,7,7,0.0
1991,joey-cantafio-1,Joey Cantafio,VMI,5-9 SoCon,10,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Return,10,18,5,9,0.0
1992,joey-cantafio-1,Joey Cantafio,VMI,3-11 SoCon,10,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Return,10,18,3,11,0.0
1993,joey-cantafio-1,Joey Cantafio,VMI,3-15 SoCon,5,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Return,5,22,3,15,0.0
