season,coachid,coach,team,todisplay,score,bgcolor,fgcolor,isseason,conference,state,bordercolor,firstseason,nextyear,w,l,confw,confl,tourneyscore
1994,joey-cantafio-1,Joey Cantafio,VMI,2-16 SoCon,5,#FFFFFF,#000000,4,Southern,Virginia,black,1987.0,Left,5,23,2,16,0.0
1995,joey-cantafio-1,Joey Cantafio,VMI,Furman,0,#FFFFFF,#000000,0,Southern,Virginia,white,1987.0,Last,,,,,
2014,joey-james-1,Joey James,South Dakota,6-8 Sum,12,#FFFFFF,#000000,4,Summit,South Dakota,black,2014.0,Fired,12,18,6,8,0.0
2015,joey-james-1,Joey James,South Dakota,Fired,0,#FFFFFF,#000000,0,Summit,South Dakota,white,2014.0,Last,,,,,
1985,joey-meyer-1,Joey Meyer,DePaul,"19-10
NCAA 64",29,#003DA5,#FFFFFF,4,Ind,Illinois,black,1985.0,Return,19,10,,,0.1
1986,joey-meyer-1,Joey Meyer,DePaul,"18-13
Sweet 16",38,#003DA5,#FFFFFF,4,Ind,Illinois,black,1985.0,Return,18,13,,,0.2
1987,joey-meyer-1,Joey Meyer,DePaul,"28-3
Sweet 16",48,#003DA5,#FFFFFF,4,Ind,Illinois,black,1985.0,Return,28,3,,,0.2
1988,joey-meyer-1,Joey Meyer,DePaul,"22-8
NCAA 32",37,#003DA5,#FFFFFF,4,Ind,Illinois,black,1985.0,Return,22,8,,,0.15
1989,joey-meyer-1,Joey Meyer,DePaul,"21-12
NCAA 32",36,#003DA5,#FFFFFF,4,Ind,Illinois,black,1985.0,Return,21,12,,,0.15
1990,joey-meyer-1,Joey Meyer,DePaul,20-15,20,#FFFFFF,#000000,4,Ind,Illinois,black,1985.0,Return,20,15,,,0.0
1991,joey-meyer-1,Joey Meyer,DePaul,"20-9
NCAA 64",30,#003DA5,#FFFFFF,4,Ind,Illinois,black,1985.0,Return,20,9,,,0.1
1992,joey-meyer-1,Joey Meyer,DePaul,"8-2 GMWC
NCAA 64",30,#003DA5,#FFFFFF,4,GMWC,Illinois,black,1985.0,Return,20,9,8,2,0.1
1993,joey-meyer-1,Joey Meyer,DePaul,3-7 GMWC,16,#FFFFFF,#000000,4,GMWC,Illinois,black,1985.0,Return,16,15,3,7,0.0
1994,joey-meyer-1,Joey Meyer,DePaul,4-8 GMWC,16,#FFFFFF,#000000,4,GMWC,Illinois,black,1985.0,Return,16,12,4,8,0.0
1995,joey-meyer-1,Joey Meyer,DePaul,6-6 GMWC,17,#FFFFFF,#000000,4,GMWC,Illinois,black,1985.0,Return,17,11,6,6,0.0
1996,joey-meyer-1,Joey Meyer,DePaul,2-12 CUSA,11,#FFFFFF,#000000,4,CUSA,Illinois,black,1985.0,Return,11,18,2,12,0.0
1997,joey-meyer-1,Joey Meyer,DePaul,1-13 CUSA,3,#FFFFFF,#000000,4,CUSA,Illinois,black,1985.0,Fired,3,23,1,13,0.0
1998,joey-meyer-1,Joey Meyer,DePaul,Fired,0,#FFFFFF,#000000,0,CUSA,Illinois,white,1985.0,Last,,,,,
1998,joey-stiebing-1,Joey Stiebing,New Orleans,9-9 SB,15,#FFFFFF,#000000,4,Sun Belt,Louisiana,black,1998.0,Return,15,12,9,9,0.0
1999,joey-stiebing-1,Joey Stiebing,New Orleans,5-9 SB,14,#FFFFFF,#000000,4,Sun Belt,Louisiana,black,1998.0,Return,14,16,5,9,0.0
2000,joey-stiebing-1,Joey Stiebing,New Orleans,6-10 SB,11,#FFFFFF,#000000,4,Sun Belt,Louisiana,black,1998.0,Return,11,18,6,10,0.0
2001,joey-stiebing-1,Joey Stiebing,New Orleans,10-6 SB,17,#FFFFFF,#000000,4,Sun Belt,Louisiana,black,1998.0,Fired,17,12,10,6,0.0
2002,joey-stiebing-1,Joey Stiebing,New Orleans,Fired,0,#FFFFFF,#000000,0,Sun Belt,Louisiana,white,1998.0,Last,,,,,
2022,john-aiken-1,John Aiken,McNeese,4-10 SLC,11,#FFFFFF,#000000,4,Southland,Louisiana,black,2022.0,Return,11,22,4,10,0.0
2023,john-aiken-1,John Aiken,McNeese,6-12 SLC,11,#FFFFFF,#000000,4,Southland,Louisiana,black,2022.0,Fired,11,23,6,12,0.0
2024,john-aiken-1,John Aiken,McNeese,Fired,0,#FFFFFF,#000000,0,Southland,Louisiana,white,2022.0,Last,,,,,
2026,john-andrzejek-1,John Andrzejek,Campbell,3-6 CAA,9,#FFFFFF,#000000,4,CAA,North Carolina,black,2026.0,Last,9,13,3,6,0.0
1962,john-arndt-1,John Arndt,LMU (CA),5-7 WCAC,18,#FFFFFF,#000000,4,WCAC,California,black,1962.0,Return,18,9,5,7,0.0
